ticker,recommendation,decision_band,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,liquidity_risk,index_tailwind,urgency_score,primary_reasons,summary
KEC,IMMEDIATE_EXIT,EXIT,51,75,77,CRITICAL,50,50,35,0,59,"AI service error, Price 8.2% below 20-day SMA (breakdown), Price 10.0% below 50-day SMA","EXIT: Price 8.2% below 20-day SMA (breakdown); Price 10.0% below 50-day SMA; RSI oversold at 8.9 (potential further downside), proposed stop close< 749.79 (swing_low - 1.0*ATR), trail 21.55 (1.5×ATR)"
PETRONET,HOLD,HOLD,47,75,8,NONE,50,50,35,0,50,"AI service error, Low volume on downtrend (weak support)","HOLD: Low volume on downtrend (weak support), proposed stop close< 270.12 (swing_low - 1.0*ATR), trail 7.32 (1.5×ATR)"
DEEPAKNTR,HOLD,HOLD,48,75,15,NONE,50,50,35,0,50,"AI service error, Low volume on downtrend (weak support), Daily and weekly trends aligned down","HOLD: Low volume on downtrend (weak support); Daily and weekly trends aligned down, proposed stop close< 1699.09 (swing_low - 1.0*ATR), trail 38.87 (1.5×ATR)"
AURIGROW,IMMEDIATE_EXIT,EXIT,52,75,62,HIGH,50,50,80,0,54,"AI service error, Price 8.3% below 20-day SMA (breakdown), Negative 10-day momentum: -10.5%","EXIT: Price 8.3% below 20-day SMA (breakdown); Negative 10-day momentum: -10.5%; Unusual volume spike on down move, proposed stop close< 0.49 (swing_low - 1.0*ATR), trail 0.04 (1.5×ATR)"
SAGILITY,HOLD,HOLD,47,75,13,NONE,50,50,20,0,50,"AI service error, Low volume on downtrend (weak support), High short-term volatility (ATR 4.5% of price)","HOLD: Low volume on downtrend (weak support); High short-term volatility (ATR 4.5% of price), proposed stop close< 42.00 (swing_low - 1.0*ATR), trail 3.49 (1.5×ATR)"
CIPLA,HOLD,HOLD,48,75,30,LOW,50,50,20,0,50,"AI service error, Negative 10-day momentum: -5.1%, Low volume on downtrend (weak support)","HOLD: Negative 10-day momentum: -5.1%; Low volume on downtrend (weak support); Daily and weekly trends aligned down, proposed stop close< 1467.34 (swing_low - 1.0*ATR), trail 50.95 (1.5×ATR)"
UPL,HOLD,HOLD,46,75,0,NONE,50,50,20,0,50,"AI service error, No significant technical exit signals","HOLD: No significant technical exit signals, proposed stop close< 655.17 (swing_low - 1.0*ATR), trail 22.17 (1.5×ATR)"
BANARBEADS,IMMEDIATE_EXIT,EXIT,51,75,35,LOW,50,50,80,0,50,"AI service error, Price 6.1% below 20-day SMA (breakdown), Low volume on downtrend (weak support)","EXIT: Price 6.1% below 20-day SMA (breakdown); Low volume on downtrend (weak support); High short-term volatility (ATR 5.7% of price), proposed stop close< 127.09 (swing_low - 1.0*ATR), trail 11.56 (1"
ALPA,IMMEDIATE_EXIT,EXIT,52,75,62,HIGH,50,50,80,0,54,"AI service error, Negative 10-day momentum: -5.2%, Unusual volume spike on down move","EXIT: Negative 10-day momentum: -5.2%; Unusual volume spike on down move; Death cross: 20-day SMA below 50-day SMA (bearish), proposed stop close< 82.35 (swing_low - 1.0*ATR), trail 3.49 (1.5×ATR)"
DBCORP,HOLD,HOLD,49,75,33,LOW,50,50,55,0,50,"AI service error, Low volume on downtrend (weak support), Death cross: 20-day SMA below 50-day SMA (bearish)","HOLD: Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish); High short-term volatility (ATR 3.5% of price), proposed stop close< 230.22 (swing_low - 1.0*ATR), tra"
