ticker,recommendation,decision_band,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,liquidity_risk,index_tailwind,urgency_score,primary_reasons,summary
KEC,HOLD,HOLD,46,75,35,LOW,50,40,35,0,82.0,,"KEC exhibits severe technical deterioration with extreme oversold RSI (15.7), death cross formation, and multi-timeframe downtrends. The 82/100 urgency score reflects critical technical breakdown, but"
PETRONET,HOLD,STRONG HOLD,1,75,0,NONE,0,0,20,0,25.0,,"PETRONET shows robust technical health with price above key moving averages, positive momentum across multiple timeframes, and volume-confirmed strength. No technical breakdown signals present - all i"
DEEPAKNTR,HOLD,STRONG HOLD,19,75,15,NONE,15,25,35,0,58.0,,"DEEPAKNTR shows technical weakness with price below key moving averages and RSI approaching oversold, scoring 58/100 exit urgency. However, absence of fundamental deterioration, proximity to support l"
AURIGROW,IMMEDIATE_EXIT,HOLD,48,50,5,NONE,70,0,80,0,82.0,"Technical structure breakdown with no support visibility, Elevated volatility (4.16% ATR) in deteriorating trend, Negative momentum with weekly downtrend confirmation","IMMEDIATE_EXIT recommended due to dangerous combination of extreme volatility (4.16% ATR), negative momentum (-3.51%), weekly downtrend, and complete absence of technical support visibility. The lack "
SAGILITY,HOLD,STRONG HOLD,1,75,5,NONE,0,0,20,0,28.0,,"HOLD recommendation based on strong technical momentum and intact uptrend structure. Price is performing exceptionally well (+10.9% above 20DMA, +15.2% above 50DMA) with healthy volume confirmation. W"
CIPLA,HOLD,HOLD,30,75,22,LOW,30,35,20,0,58.0,,"CIPLA shows technical deterioration with price below both key moving averages and negative momentum, but lacks critical fundamental triggers warranting immediate exit. The stock is testing support wit"
UPL,HOLD,STRONG HOLD,18,75,0,NONE,20,15,20,0,72.0,,"UPL shows extreme technical overbought conditions (RSI 79, above upper BB) after strong momentum run, warranting close monitoring. However, intact uptrend structure and absence of fundamental deterior"
BANARBEADS,HOLD,HOLD,39,75,35,LOW,35,40,80,0,68.0,,"BANARBEADS shows technical deterioration with price below 20DMA, at 20-day lows, and negative momentum, but remains above 50DMA with positive monthly trend. Without fundamental catalysts, this appears"
ALPA,HOLD,STRONG HOLD,5,75,20,LOW,0,0,80,0,42.0,,"Technical assessment shows mixed signals: short-term uptrend intact (above 20DMA, positive momentum, RSI neutral) but medium-term caution warranted (below 50DMA). Absence of news means no immediate fu"
DBCORP,HOLD,STRONG HOLD,4,75,25,LOW,0,0,55,0,42.0,,"HOLD recommendation based purely on technical assessment. Stock shows consolidation pattern with price near 20DMA and neutral RSI, lacking critical breakdown signals. While volume weakness and 50DMA r"
