ticker,recommendation,decision_band,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,liquidity_risk,index_tailwind,urgency_score,primary_reasons,summary
KEC,HOLD,HOLD,45,75,35,LOW,45,50,35,0,45,"RSI oversold at 22.8 (potential further downside), Low volume on downtrend (weak support), Close below lower Bollinger band","HOLD: RSI oversold at 22.8 (potential further downside); Low volume on downtrend (weak support); Close below lower Bollinger band, proposed stop close< 801.91 (swing_low - 1.0*ATR), trail 23.76 (1.5×A"
PETRONET,HOLD,HOLD,42,75,0,NONE,45,50,20,0,45,No significant technical exit signals,"HOLD: No significant technical exit signals, proposed stop close< 271.01 (swing_low - 1.0*ATR), trail 6.88 (1.5×ATR)"
DEEPAKNTR,HOLD,HOLD,44,75,27,LOW,45,50,35,0,45,"RSI oversold at 25.3 (potential further downside), Unusual volume spike on down move, Daily and weekly trends aligned down","HOLD: RSI oversold at 25.3 (potential further downside); Unusual volume spike on down move; Daily and weekly trends aligned down, proposed stop close< 1703.29 (swing_low - 1.0*ATR), trail 37.67 (1.5×A"
AURIGROW,HOLD,HOLD,45,50,5,NONE,45,50,80,0,45,High short-term volatility (ATR 4.0% of price),"HOLD: High short-term volatility (ATR 4.0% of price), trail 0.03 (1.5×ATR)"
SAGILITY,HOLD,HOLD,42,75,5,NONE,45,50,20,0,45,High short-term volatility (ATR 4.3% of price),"HOLD: High short-term volatility (ATR 4.3% of price), proposed stop close< 41.17 (swing_low - 1.0*ATR), trail 3.40 (1.5×ATR)"
CIPLA,HOLD,HOLD,43,75,17,NONE,45,50,20,0,45,"Unusual volume spike on down move, Daily and weekly trends aligned down","HOLD: Unusual volume spike on down move; Daily and weekly trends aligned down, proposed stop close< 1458.95 (swing_low - 1.0*ATR), trail 53.48 (1.5×ATR)"
UPL,HOLD,HOLD,42,75,0,NONE,45,50,20,0,45,No significant technical exit signals,"HOLD: No significant technical exit signals, proposed stop close< 655.90 (swing_low - 1.0*ATR), trail 21.07 (1.5×ATR)"
BANARBEADS,HOLD,HOLD,45,75,5,NONE,45,50,80,0,45,High short-term volatility (ATR 5.8% of price),"HOLD: High short-term volatility (ATR 5.8% of price), proposed stop close< 131.98 (swing_low - 1.0*ATR), trail 12.48 (1.5×ATR)"
ALPA,HOLD,HOLD,46,75,20,LOW,45,50,80,0,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD: Death cross: 20-day SMA below 50-day SMA (bearish), proposed stop close< 84.45 (swing_low - 1.0*ATR), trail 3.48 (1.5×ATR)"
DBCORP,HOLD,HOLD,46,75,33,LOW,45,50,55,0,45,"Low volume on downtrend (weak support), Death cross: 20-day SMA below 50-day SMA (bearish), High short-term volatility (ATR 4.5% of price)","HOLD: Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish); High short-term volatility (ATR 4.5% of price), proposed stop close< 227.37 (swing_low - 1.0*ATR), tra"
BFUTILITIE,MONITOR,MONITOR,50,75,80,CRITICAL,45,50,55,0,58,"Price 5.2% below 20-day SMA (breakdown), RSI oversold at 23.0 (potential further downside), Negative 10-day momentum: -6.7%","MONITOR: Price 5.2% below 20-day SMA (breakdown); RSI oversold at 23.0 (potential further downside); Negative 10-day momentum: -6.7%, proposed stop close< 707.76 (swing_low - 1.0*ATR), trail 34.79 (1."
VIKRAMAR,IMMEDIATE_EXIT,EXIT,51,75,85,CRITICAL,45,50,80,0,60,"Price 5.5% below 20-day SMA (breakdown), Price 13.5% below 50-day SMA, RSI oversold at 29.1 (potential further downside)","EXIT: Price 5.5% below 20-day SMA (breakdown); Price 13.5% below 50-day SMA; RSI oversold at 29.1 (potential further downside), proposed stop close< 73.13 (swing_low - 1.0*ATR), trail 7.61 (1.5×ATR)"
BHEL,HOLD,HOLD,42,75,0,NONE,45,50,20,0,45,No significant technical exit signals,"HOLD: No significant technical exit signals, proposed stop close< 224.73 (swing_low - 1.0*ATR), trail 9.32 (1.5×ATR)"
CAPACITE,HOLD,HOLD,45,75,20,LOW,45,50,55,0,45,Death cross: 20-day SMA below 50-day SMA (bearish),"HOLD: Death cross: 20-day SMA below 50-day SMA (bearish), proposed stop close< 263.61 (swing_low - 1.0*ATR), trail 11.09 (1.5×ATR)"
CROMPTON,HOLD,HOLD,44,75,27,LOW,45,50,20,0,45,"Death cross: 20-day SMA below 50-day SMA (bearish), Daily and weekly trends aligned down","HOLD: Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down, proposed stop close< 274.38 (swing_low - 1.0*ATR), trail 8.58 (1.5×ATR)"
DATAPATTNS,HOLD,HOLD,43,75,15,NONE,45,50,20,0,45,"Low volume on downtrend (weak support), Daily and weekly trends aligned down","HOLD: Low volume on downtrend (weak support); Daily and weekly trends aligned down, proposed stop close< 2621.56 (swing_low - 1.0*ATR), trail 113.46 (1.5×ATR)"
EASEMYTRIP,HOLD,HOLD,45,75,27,LOW,45,50,55,0,45,"Death cross: 20-day SMA below 50-day SMA (bearish), Daily and weekly trends aligned down","HOLD: Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down, proposed stop close< 7.70 (swing_low - 1.0*ATR), trail 0.23 (1.5×ATR)"
GATECHDVR,HOLD,HOLD,46,75,22,LOW,45,50,80,0,45,"Unusual volume spike on down move, High short-term volatility (ATR 5.6% of price), Daily and weekly trends aligned down","HOLD: Unusual volume spike on down move; High short-term volatility (ATR 5.6% of price); Daily and weekly trends aligned down, proposed stop close< 0.48 (swing_low - 1.0*ATR), trail 0.04 (1.5×ATR)"
HUDCO,HOLD,HOLD,42,75,0,NONE,45,50,20,0,45,No significant technical exit signals,"HOLD: No significant technical exit signals, proposed stop close< 219.09 (swing_low - 1.0*ATR), trail 8.20 (1.5×ATR)"
