ticker,recommendation,decision_band,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,liquidity_risk,index_tailwind,urgency_score,primary_reasons,summary
KEC,HOLD,HOLD,47,75,35,LOW,50,50,35,0,43,"RSI oversold at 22.8 (potential further downside), Low volume on downtrend (weak support), Close below lower Bollinger band",Tech-driven assessment: score=43; signals: RSI oversold at 22.8 (potential further downside); Low volume on downtrend (weak support)
PETRONET,HOLD,HOLD,42,75,0,NONE,50,50,20,0,25,No significant technical exit signals,Tech-driven assessment: score=25; signals: No significant technical exit signals
DEEPAKNTR,HOLD,HOLD,46,75,27,LOW,50,50,35,0,37,"RSI oversold at 25.3 (potential further downside), Unusual volume spike on down move, Daily and weekly trends aligned down",Tech-driven assessment: score=37; signals: RSI oversold at 25.3 (potential further downside); Unusual volume spike on down move
AURIGROW,HOLD,HOLD,46,50,5,NONE,50,50,80,0,27,High short-term volatility (ATR 4.0% of price),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 4.0% of price)
SAGILITY,HOLD,HOLD,43,75,5,NONE,50,50,20,0,27,High short-term volatility (ATR 4.3% of price),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 4.3% of price)
CIPLA,HOLD,HOLD,44,75,17,NONE,50,50,20,0,33,"Unusual volume spike on down move, Daily and weekly trends aligned down",Tech-driven assessment: score=33; signals: Unusual volume spike on down move; Daily and weekly trends aligned down
UPL,HOLD,HOLD,42,75,0,NONE,50,50,20,0,25,No significant technical exit signals,Tech-driven assessment: score=25; signals: No significant technical exit signals
BANARBEADS,HOLD,HOLD,46,75,5,NONE,50,50,80,0,27,High short-term volatility (ATR 5.8% of price),Tech-driven assessment: score=27; signals: High short-term volatility (ATR 5.8% of price)
ALPA,HOLD,HOLD,48,75,20,LOW,50,50,80,0,34,Death cross: 20-day SMA below 50-day SMA (bearish),Tech-driven assessment: score=34; signals: Death cross: 20-day SMA below 50-day SMA (bearish)
DBCORP,HOLD,HOLD,48,75,33,LOW,50,50,55,0,40,"Low volume on downtrend (weak support), Death cross: 20-day SMA below 50-day SMA (bearish), High short-term volatility (ATR 4.5% of price)",Tech-driven assessment: score=40; signals: Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish)
BFUTILITIE,IMMEDIATE_EXIT,EXIT,54,75,80,CRITICAL,50,50,55,0,66,"Price 5.2% below 20-day SMA (breakdown), RSI oversold at 23.0 (potential further downside), Negative 10-day momentum: -6.7%",Tech-driven assessment: score=66; signals: Price 5.2% below 20-day SMA (breakdown); RSI oversold at 23.0 (potential further downside)
VIKRAMAR,IMMEDIATE_EXIT,EXIT,56,75,85,CRITICAL,50,50,80,0,68,"Price 5.5% below 20-day SMA (breakdown), Price 13.5% below 50-day SMA, RSI oversold at 29.1 (potential further downside)",Tech-driven assessment: score=68; signals: Price 5.5% below 20-day SMA (breakdown); Price 13.5% below 50-day SMA
BHEL,HOLD,HOLD,42,75,0,NONE,50,50,20,0,25,No significant technical exit signals,Tech-driven assessment: score=25; signals: No significant technical exit signals
