ticker,close,alpha,final_pick,marketcap_cr,existing_rank,momentum_20,momentum_60,momentum_3,rvol,rvol_norm,pbz,pbz_norm,squeeze,breakout,squeeze_bo_score,bb_width,trend_sma50,trend_sma200,rsi14,catalyst_type,catalyst_count,deal_value_cr,sentiment,certainty,news_score,mom20_norm,mom60_norm,atr20,stop_loss,tp1,tp2,trail_stop,impact_pct,gate_flags,headline_text,headline_count
LTIM.NS,13374.911491334204,78.51660677146347,1,350000,24,98.32606183097002,99.99999999744736,56.35127867318296,1.8364681157132634,61.21560385710878,70.77634874386514,70.77634874386514,0,1,50,3443.019116865067,1,0,74.970829062696,investment,2,0.0,positive,100,100.0,98.32606183097002,99.99999999744736,506.44135406444,12706.165916767493,14134.573522430863,14894.235553527524,12108.808106173103,5.6797537059505405,alpha:True|rvol:True|trend:True|volatility:True|all:True,Full Article Fetch Test - ALLTIME,10
RELIANCE.NS,31831.194508826273,77.13109303380759,0,1800000,1,99.10945431845161,99.99263557687901,76.16401615242724,1.0213798030700825,34.045993435669416,76.92688096190173,76.92688096190173,0,1,50,9437.4285586982,1,0,83.85593228889348,contract,2,0.0,neutral,100,100.0,99.10945431845161,99.99263557687901,1180.603115826336,30239.634783384958,33602.09918256578,35373.00385630528,28879.686719260433,5.5634251276635585,alpha:True|rvol:False|trend:True|volatility:True|all:False,"""The truncated trading week will be event-heavy, with several key triggers lined",10
MARUTI.NS,440851.30531574227,76.81746256565424,0,220000,10,99.97700724721253,99.99999859977109,72.104527583362,1.0316936175760694,34.38978725253565,70.20046131869009,70.20046131869009,0,1,50,256373.9961763566,1,0,98.60139296286933,product,2,0.0,positive,92,100.0,99.97700724721253,99.99999859977109,16577.48163685145,418808.74004995514,465717.52777101944,490583.7502262966,399407.60122361366,5.6405010386592185,alpha:True|rvol:False|trend:True|volatility:True|all:False,Automobile companies are also witnessing a sparkling Diwali season. Maruti Suzuk,6
SBILIFE.NS,2161.209273074076,74.3535019548061,1,200000,25,99.61002993197852,99.98848028295498,73.94996711796796,2.4406181027896063,81.35393675965355,72.43890597291121,72.43890597291121,0,1,50,1060.2820145365804,1,0,96.10407178132475,earnings,0,0.0,neutral,40,60.0,99.61002993197852,99.98848028295498,71.98404515561629,2053.2332053406517,2269.1853408075003,2377.1614085409246,1981.2491601850352,4.996094967695589,alpha:True|rvol:True|trend:True|volatility:True|all:True,Full Article Fetch Test - SBILIFE,2
BHARTIARTL.NS,17455.34453507087,72.9121381652624,1,380000,16,94.46223949644697,99.99999459730395,67.47667846866821,2.2139536362159298,73.79845454053098,75.21118844074988,75.21118844074988,0,1,50,4760.075715552477,1,0,82.5717644132113,earnings,0,0.0,neutral,40,60.0,94.46223949644697,99.99999459730395,533.1962997051718,16655.550085513114,18255.13898462863,19054.933434186387,16122.353785807942,4.581945936104723,alpha:True|rvol:True|trend:True|volatility:True|all:True,Full Article Fetch Test - BHARTIARTL,2
TCS.NS,116271.98759672005,71.33443599748773,0,950000,2,99.8043181639747,99.99999999435026,50.69093796553324,0.07909647618995455,2.6365492063318183,64.37728294463533,64.37728294463533,0,0,20,66983.03893133882,1,0,87.80053559778017,product,8,0.0,positive,100,100.0,99.8043181639747,99.99999999435026,4433.2271406211175,110458.38821688404,122921.82830765173,129571.6690185834,105188.91974516725,5.719211349509315,alpha:True|rvol:False|trend:True|volatility:False|all:False,"As economic uncertainty clouds private sector spending across key markets, India",10
ADANIPORTS.NS,13086.089459383318,70.06179388482724,0,200000,14,99.947441947377,99.99999999998673,51.347802270214025,1.0839196311137096,36.13065437045699,65.93325405014942,65.93325405014942,0,0,20,7232.971020481519,1,0,98.58906619872326,ipo,1,0.0,neutral,50,75.0,99.947441947377,99.99999999998673,485.9905895719386,12431.784986414152,13815.075343741226,14544.061228099134,11871.112985453472,5.570693113634431,alpha:True|rvol:False|trend:True|volatility:False|all:False,Full Article Fetch Test - ADANIPORTS,2
SUNPHARMA.NS,2688.289410416131,69.86818128544144,0,320000,12,98.39865967299772,69.71454659698543,64.73388027435576,2.3534463434641233,78.4482114488041,70.72761878431461,70.72761878431461,0,1,50,917.1716249207755,1,0,83.1917005146079,earnings,0,0.0,neutral,40,60.0,98.39865967299772,69.71454659698543,95.53629263843922,2553.874939895324,2831.59384937379,2974.8982883314484,2449.448678820033,5.3306923875981145,alpha:False|rvol:True|trend:True|volatility:True|all:False,Full Article Fetch Test - SUNPHARMA,2
HCLTECH.NS,116707.2658094716,69.8159361273247,0,450000,4,99.57040768552227,99.99999999999979,59.5540258288516,0.8542920905990398,28.476403019967993,71.75277436820595,71.75277436820595,0,1,50,50226.355257382354,1,0,91.95673718303549,earnings,0,0.0,neutral,40,60.0,99.57040768552227,99.99999999999979,4037.852208895765,110871.90251899802,122764.04412281525,128820.8224361589,106612.63528723219,5.18971828474804,alpha:False|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - HCLTECH,2
AXISBANK.NS,5998.324260638936,69.12327380857364,0,350000,8,99.48949619762735,99.9764021664599,85.28152094407237,0.37228192457806875,12.409397485935624,80.30084522763346,80.30084522763346,0,1,50,1878.7550204793502,1,0,80.2473475621093,earnings,0,0.0,neutral,40,60.0,99.48949619762735,99.9764021664599,223.55426261728135,5698.4080476069885,6333.655654564858,6668.98704849078,5439.438604095732,5.590417912655546,alpha:False|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - AXISBANK,2
