ticker,close,alpha,final_pick,marketcap_cr,existing_rank,momentum_20,momentum_60,momentum_3,rvol,rvol_norm,pbz,pbz_norm,squeeze,breakout,squeeze_bo_score,bb_width,trend_sma50,trend_sma200,rsi14,catalyst_type,catalyst_count,deal_value_cr,sentiment,certainty,news_score,mom20_norm,mom60_norm,atr20,stop_loss,tp1,tp2,trail_stop,impact_pct,gate_flags,headline_text,headline_count
NTPC.NS,3111.041116160713,77.33793615869246,0,170000,25,99.80962041753591,99.96818091446784,79.81097251041359,1.1254839529414833,37.51613176471611,74.53696005346059,74.53696005346059,0,1,50,1547.1718507661706,1,0,93.19955781569985,ipo,10,0.0,neutral,100,100.0,99.80962041753591,99.96818091446784,122.21999395947469,2955.4890603526774,3294.371107099925,3477.701098039137,2805.491131262026,5.892882289047238,alpha:True|rvol:False|trend:True|volatility:True|all:False,Title   : NTPC Share Price Live Updates: NTPC's Current Trading Status,10
LT.NS,17750.276044221948,74.78390453345541,0,400000,12,99.2781766513101,99.99999999999997,67.42287768735969,0.19353930686094134,6.451310228698044,73.54429140897192,73.54429140897192,0,1,50,6730.497783339586,1,0,87.42149802773237,ipo,4,0.0,neutral,100,100.0,99.2781766513101,99.99999999999997,611.9937494298058,16862.76224201085,18668.266668366658,19586.257292511364,16220.291670647433,5.171697735053158,alpha:True|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - RAJRILTD,10
BAJFINANCE.NS,6766.808493799203,74.21166206398404,1,450000,11,99.78179054854166,99.99992293484138,60.068910151947634,2.414289129606696,80.4763043202232,71.10658238290529,71.10658238290529,0,1,50,3233.417231973908,1,0,82.69876711337649,earnings,0,0.0,neutral,40,60.0,99.78179054854166,99.99992293484138,264.4895924644433,6428.468069109242,7163.542882495867,7560.277271192533,6105.584512638095,5.862946898234435,alpha:True|rvol:True|trend:True|volatility:True|all:True,Full Article Fetch Test - BAJFINANCE,2
HINDUNILVR.NS,1163.2847049279792,74.16138904144206,1,600000,6,94.52986562736484,99.75887894246475,68.26375188800085,2.7490943085002817,91.6364769500094,72.8143013048255,72.8143013048255,0,1,50,335.3549006594137,1,0,83.51306562409789,earnings,0,0.0,neutral,40,60.0,94.52986562736484,99.75887894246475,40.01307834628993,1105.1204696815803,1223.304322447414,1283.323939966849,1063.2520090622543,5.159495114581667,alpha:True|rvol:True|trend:True|volatility:True|all:True,Full Article Fetch Test - HINDUNILVR,2
ADANIENT.NS,13418.415382186087,72.84520666480331,1,250000,23,99.80992167389519,99.99999999995026,77.75237641955313,1.7548928284619665,58.496427615398886,76.3397668603512,76.3397668603512,0,1,50,5972.499706872615,1,0,91.72324862757586,earnings,0,0.0,neutral,40,60.0,99.80992167389519,99.99999999995026,497.6781865494346,12747.494613076782,14164.93266201024,14911.449941834391,12174.2199158125,5.56337882351748,alpha:True|rvol:True|trend:True|volatility:True|all:True,Full Article Fetch Test - ADANIENT,2
RELIANCE.NS,156578.0255045681,72.61200872149584,0,1800000,1,99.94936483261503,99.99999997779233,53.444223159739806,0.4568357449253262,15.22785816417754,66.46732753421082,66.46732753421082,0,0,20,82199.91587985688,1,0,86.53328229217414,earnings,3,67459.0,positive,100,100.0,99.94936483261503,99.99999997779233,6302.279499614774,148749.12422933968,166031.44475399025,175484.86400341243,140822.32675553116,6.037513386031522,alpha:True|rvol:False|trend:True|volatility:False|all:False,"Over the past week, Reliance Industries Limited (RIL) has achieved a return of 6",10
ICICIBANK.NS,4909.690313077781,70.12714685449347,0,700000,5,99.94186728189644,99.98710785890984,76.74512913650094,0.840398464147789,28.013282138259633,74.82434787929137,74.82434787929137,0,1,50,2385.785202577353,1,0,95.24482029031093,earnings,0,0.0,neutral,40,60.0,99.94186728189644,99.98710785890984,183.6650143920573,4664.205797423891,5185.187834665867,5460.685356253953,4450.527777097638,5.611301406409528,alpha:True|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - ICICIBANK,2
ASIANPAINT.NS,3028.51838815873,69.63395108160233,0,300000,16,98.92407103521083,99.8905294349689,69.15695757400249,0.9725225086278666,32.417416954262215,67.54429253962695,67.54429253962695,0,1,50,1072.7683164876007,1,0,83.86796442990308,earnings,0,0.0,neutral,40,60.0,98.92407103521083,99.8905294349689,105.53960295002233,2877.092468750793,3186.8277925837633,3345.137197008797,2764.669380783674,5.227288863227997,alpha:False|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - ASIANPAINT,2
TECHM.NS,1451.9554573634393,69.48077059237252,0,180000,22,98.54764759711819,99.92203022007945,58.51376349863281,0.8740746643467693,29.13582214489231,70.00161880495187,70.00161880495187,0,1,50,612.5333621699301,1,0,97.34802550227906,earnings,0,0.0,neutral,40,60.0,98.54764759711819,99.92203022007945,50.88446922999415,1379.3576844952672,1528.2821612084306,1604.6088650534218,1324.7442842884539,5.256821306597829,alpha:False|rvol:False|trend:True|volatility:True|all:False,Full Article Fetch Test - TECHM,2
KOTAKBANK.NS,2889.000837344184,68.11647780777758,0,350000,10,99.58184083181098,99.92936957726093,61.34012455046119,1.3972872886486944,46.576242954956484,64.86843240356458,64.86843240356458,0,0,20,1425.1769382333723,1,0,85.63259763332687,earnings,0,0.0,neutral,40,60.0,99.58184083181098,99.92936957726093,108.12078179962937,2744.550795476975,3051.1820100436285,3213.3631827430722,2618.698882845111,5.613746129908878,alpha:False|rvol:False|trend:True|volatility:False|all:False,Full Article Fetch Test - KOTAKBANK,2
