rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,current_price,price_timestamp,entry_zone_low,entry_zone_high,target_conservative,target_aggressive,stop_loss,fundamental_adjustment,quarterly_earnings_growth_yoy,annual_earnings_growth_yoy,profit_margin_pct,debt_to_equity,is_profitable,net_worth_positive,financial_health_status,headline,reasoning
1,BPCL,BHARAT PETROLEUM CORPORATION LIMITED,88.0,bullish,BUY,"earnings, dividend, government_compensation, margin_expansion, cost_control","Sequential revenue decline 6% QoQ, RSI overbought at 71.13, Profit margin still modest at 6.08%, Dependency on government LPG subsidy compensation",90,1,66.3,366.20,2025-11-03T12:48:15.582147,360.71,368.03,375.36,384.51,357.05,+4.96,140.68,-50.35,6.08,0.75,TRUE,TRUE,moderate,BPCL shares in focus after Q2 PAT soars 170% YoY ,"BPCL delivered exceptional Q2 results with 170% YoY PAT surge to ₹6,191cr, driven by improved GRM ($7.77/barrel), controlled expenses, and ₹7,594cr government LPG compensation. Strong fundamentals (qu"
2,INTELLECT,INTELLECT DESIGN ARENA LIMITED,80.0,bullish,BUY,"technical_breakout, double_bottom_pattern, moving_average_bullish_crossover, strong_volume_confirmation","RSI overbought at 75.67 - potential short-term pullback, 18% above 20DMA - extended from mean reversion level, Technical recommendation only - no fundamental catalyst, Stop-loss breach at ₹1,055 would invalidate setup",75,1,74.8,1191.30,2025-11-03T12:50:03.618931,1173.43,1197.26,1221.08,1250.87,1161.52,+6.23,26.90,3.61,13.47,0.03,TRUE,TRUE,healthy,"Stock to buy today: Intellect Design Arena (₹1,132.90) – BUY","Hindu BusinessLine (tier-1 source) provides detailed technical analysis with specific entry/exit levels. Stock confirmed bullish breakout with 8% Friday surge, double bottom pattern completion, and ma"
3,PAYTM,ONE 97 COMMUNICATIONS LIMITED,77.4,bullish,BUY,"sector_momentum, high_beta_volatility, price_performance","High beta volatility can lead to sharp corrections, Past performance noted, not forward guidance, Overbought territory approaching (RSI 63.56), Historical high-beta success rate concerns per system data",72,1,57.5,1288.80,2025-11-03T12:50:40.776859,1269.47,1295.24,1321.02,1353.24,1256.58,+9.26,114.60,53.51,6.39,0.01,TRUE,TRUE,healthy,"High beta stocks hit higher peaks and deeper troughs. Laurus Labs, Paytm shine with 99% gains, Trent","Paytm featured as top high-beta performer with 99% gains over 1 year in tier-1 Economic Times analysis. Current technical setup shows bullish momentum (RSI 63.56, price above 20/50 DMA) with strong fu"
4,FOCUS,FOCUS LIGHTING AND FIXTURES LIMITED,71.6,neutral,HOLD,"brokerage_upgrade, analyst_target, sector_momentum","Weak Q2 results with 13.6% YoY profit decline, Revenue from operations down 1% YoY, Higher staff and technology costs, Stock trading below 20DMA and 50DMA indicating weakness, Low volume ratio (0.20x) suggests weak conviction, Negative 10-day momentum (-4.39%)",65,2,30.8,85.01,2025-11-03T12:49:27.254729,83.73,85.44,87.14,89.26,82.88,+8.00,,408.31,13.74,0.03,TRUE,TRUE,healthy,CDSL shares in focus after Nuvama raises target price despite weak Q2 show ,"CDSL reported weak Q2FY26 results with 13.6% YoY profit decline to ₹140cr and 1% revenue drop, but showed strong sequential recovery (37% QoQ profit jump). Nuvama's upgraded target to ₹1,840 (116% ups"
5,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,67.9,bullish,BUY,"brokerage_upgrade, target_price_raise, sequential_growth","Q2 net profit declined 13.6% YoY despite sequential recovery, Revenue from operations marginally down 1% YoY, Higher staff and technology costs pressuring margins, Expensive valuation at 61.2x FY27E PE and 50.8x FY28E PE",75,1,44.1,1601.70,2025-11-03T12:52:07.889583,1577.67,1609.71,1641.74,1681.78,1561.66,+2.63,-23.72,25.66,39.55,0.00,TRUE,TRUE,moderate,CDSL shares in focus after Nuvama raises target price despite weak Q2 show ,"Nuvama's target price upgrade to ₹1,840 (15% upside from current price) provides near-term bullish catalyst despite weak Q2 YoY performance. Strong sequential recovery (37% QoQ profit jump, 40.2% QoQ "
6,TCS,TATA CONSULTANCY SERVICES LIMITED,55.3,bearish,HOLD,"investment, diversification_risk","Lower RoE than core IT business - CFO confirms data centre profitability will lag, Significant capital deployment ($6.5B over 7 years) in asset-heavy business vs asset-light IT services, Investor skepticism - stock down 0.14% since announcement vs Sensex +2.15%, Execution risk - 18-month construction cycles across 5 cities, Strategic concern - investors prefer cash return or AI software investments over infrastructure capex",85,1,46.7,3019.20,2025-11-03T12:52:34.183543,2989.01,3019.20,3139.97,3260.74,2898.43,+5.75,5.98,5.76,20.11,0.10,TRUE,TRUE,healthy,TCS says $6.5 bn data-centre bet will lag IT business on profitability,"TCS management explicitly confirmed their $6.5B data centre venture will deliver lower RoE than their core IT services business (currently ~50% RoE). While the ₹53,625 crore investment is substantial "
7,WEALTH,WEALTH FIRST PORTFOLIO MANAGERS LIMITED,54.5,neutral,HOLD,"earnings, aum_growth","News is about parent company MOFSL, not WEALTH management subsidiary directly, Severely oversold RSI (26.5) indicates recent technical damage, Price below both 20DMA and 50DMA showing downtrend, Negative 10-day momentum (-5.65%), Low volume ratio (0.36x) suggests weak participation, Historical poor performance for WEALTH (avg score 0.2/100, 0% success rate), Regulatory event type has 0% success rate historically for this stock",50,1,33.6,1130.00,2025-11-03T12:51:33.695542,1118.70,1130.00,1175.20,1220.40,1084.80,+2.81,13.89,-20.00,64.32,0.00,TRUE,TRUE,moderate,"Motilal Oswal’s AUM jumps 55% YoY; housing finance, AMC, and wealth units drive record profits ","While MOFSL posted strong Q2 results with 55% AUM growth and record operating profit, this news is about the parent company, not specifically the WEALTH management subsidiary. The technical setup is s"
8,MARUTI,MARUTI SUZUKI INDIA LIMITED,53.2,bearish,HOLD,"results_metrics, production_volumes, brokerage_upgrades","Stock down 3% despite positive Q2 results - market disappointment, Q2 PAT below Street expectations (₹3,349cr vs ₹3,458cr est), Oversold RSI (26.4) indicates potential further downside risk, Quarter-on-quarter revenue decline (-11.11%) signals sequential weakness, New Vitara SUV launch causing expected 5% volume decline in coming quarters",75,1,52.2,15619.00,2025-11-03T12:53:05.481459,15384.72,15697.09,16009.47,16399.95,15228.52,+5.65,0.87,7.50,10.35,0.00,TRUE,TRUE,healthy,"Maruti Suzuki shares fall 3% after Q2 results, October sales volumes. Should you buy? ","Despite strong fundamentals (8% YoY PAT growth, 13% revenue growth, 8.4% October sales growth), the stock is down 3% due to earnings missing estimates. Technical indicators are extremely bearish: RSI "
9,RELIANCE,RELIANCE INDUSTRIES LIMITED,47.5,bearish,SELL,"regulatory_action, money_laundering_probe","Regulatory enforcement action against Anil Ambani's Reliance Group (different entity from Reliance Industries), Market confusion between Anil Ambani's Reliance Group and Mukesh Ambani's Reliance Industries, Overbought technical condition (RSI 80) increases downside risk, Negative sentiment spillover despite being unrelated entities",95,1,55.4,1488.40,2025-11-03T12:53:35.139076,1466.07,1495.84,1525.61,1562.82,1451.19,+7.46,78.32,0.04,11.08,0.44,TRUE,TRUE,healthy,"ED attaches 40 assets worth  ₹3,000 crore linked to Anil Ambani’s Reliance Group across Delhi, Mumba","This news is about Anil Ambani's Reliance Group (separate entity), NOT Reliance Industries Ltd (RELIANCE.NS). However, market confusion may cause temporary negative sentiment spillover. The stock is s"
10,TRENT,TRENT LIMITED,45.6,bearish,SELL,"high_beta_volatility, double_digit_decline","TRENT identified as declining double-digits in high-beta stocks analysis, Current price below both 20DMA (-0.82%) and 50DMA (-5.81%) indicating downtrend, Weak volume ratio (0.21) shows lack of buying interest, Negative 10-day momentum (-2.25%) confirms bearish trend, High beta stock in volatile market phase increases downside risk",75,1,40.9,4694.30,2025-11-03T12:54:01.920882,4623.89,4717.77,4811.66,4929.01,4576.94,+5.80,9.45,4.03,8.80,0.41,TRUE,TRUE,healthy,"High beta stocks hit higher peaks and deeper troughs. Laurus Labs, Paytm shine with 99% gains, Trent","TRENT is explicitly mentioned as a laggard among high-beta stocks with double-digit decline over the past year. Technical context confirms bearish setup: price below key moving averages, negative mome"
