ticker,company_name,ai_score,certainty,articles_count,rejection_reason,headline,reasoning
TAKE,TAKE SOLUTIONS LIMITED,36.5,20,1,Certainty 20% below threshold (40%),India’s IPO frenzy hits $200 million an hour as retail investors take charge,"This headline discusses India's IPO market momentum ($200M/hour) driven by retail investors, but contains NO specific catalyst for Take Solutions stoc"
MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,34.7,30,1,Certainty 30% below threshold (40%),Stock to buy today: MRPL (₹152.90) – BUY,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
CAMS,COMPUTER AGE MANAGEMENT SERVICES LIMITED,34.1,30,1,Certainty 30% below threshold (40%),CAMS shares fall 7% as Q2 profit dips 6% YoY despite record revenue ,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
RELIANCE,RELIANCE INDUSTRIES LIMITED,34.0,30,1,Certainty 30% below threshold (40%),Nvidia nears $5 trillion valuation as AI chip orders top $500 billion,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
BRIGADE,BRIGADE ENTERPRISES LIMITED,34.0,30,1,Certainty 30% below threshold (40%),"Q2 Results Live Today: L&T, Coal India, Brigade, Radico, CG Power, HPCL, United ","Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
WORTH,WORTH PERIPHERALS LIMITED,33.3,30,1,Certainty 30% below threshold (40%),Aditya Birla Capital shares in focus as Advent exits entire 2% stake worth Rs 16,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
BPCL,BHARAT PETROLEUM CORPORATION LIMITED,33.2,30,1,Certainty 30% below threshold (40%),Oil India explores equity investments in BPCL's proposed  ₹1 tn refinery in Andh,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
SIGNATURE,SIGNATUREGLOBAL (INDIA) LIMITED,32.9,30,2,Certainty 30% below threshold (40%),Signature Global secures  ₹8.75 billion via NCDs for sustainable housing project,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
RACE,RACE ECO CHAIN LIMITED,32.0,30,1,Certainty 30% below threshold (40%),"Jio tops race with 50 crore total subscribers, BSNL outpaces Airtel; Vi loses 7 ","Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
RETAIL,JHS SVENDGAARD RETAIL VENTURES LIMITED,31.8,30,1,Certainty 30% below threshold (40%),India’s IPO frenzy hits $200 million an hour as retail investors take charge,"Claude CLI bridge error: Claude CLI failed: Command '['claude', '--print', '--output-format', 'text', '--model', 'sonnet', '--system-prompt', 'You are"
