rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning
1,INDINFO,INDINFO,100.0,neutral,IMMEDIATE_EXIT,Price 7.9% below 20-day SMA (breakdown); Price 22.6% below 50-day SMA; RSI oversold at 27.8 (potential further downside),,,30.0,1,27.77778329672614,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
2,VIKRAMAR,VIKRAMAR,85.0,neutral,MONITOR,Price 5.5% below 20-day SMA (breakdown); Price 13.5% below 50-day SMA; RSI oversold at 29.1 (potential further downside),,,30.0,1,29.10009130884785,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
3,BFUTILITIE,BFUTILITIE,80.0,neutral,MONITOR,Price 5.2% below 20-day SMA (breakdown); RSI oversold at 23.0 (potential further downside); Negative 10-day momentum: -6.7%,,,30.0,1,22.97639012891605,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
4,KEC,KEC,50.0,neutral,HOLD,RSI oversold at 22.8 (potential further downside); Low volume on downtrend (weak support); Close below lower Bollinger band,,,30.0,1,22.75136717650716,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
5,PETRONET,PETRONET,50.0,neutral,HOLD,No significant technical exit signals,,,30.0,1,49.65868138735548,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
6,DEEPAKNTR,DEEPAKNTR,50.0,neutral,HOLD,RSI oversold at 25.3 (potential further downside); Unusual volume spike on down move; Daily and weekly trends aligned down,,,30.0,1,25.34409529994238,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
7,AURIGROW,AURIGROW,50.0,neutral,HOLD,High short-term volatility (ATR 4.0% of price),,,30.0,1,50.0,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
8,SAGILITY,SAGILITY,50.0,neutral,HOLD,High short-term volatility (ATR 4.3% of price),,,30.0,1,69.66220370767032,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
9,CIPLA,CIPLA,50.0,neutral,HOLD,Unusual volume spike on down move; Daily and weekly trends aligned down,,,30.0,1,40.3261821742043,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
10,UPL,UPL,50.0,neutral,HOLD,No significant technical exit signals,,,30.0,1,70.57263669967398,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
