rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,headline,reasoning
1,ACC,ACC LIMITED,75.7,bullish,BUY,"earnings, tax_benefit, volume_growth, sector_momentum, cost_efficiency","Tax write-back inflates profit (₹671cr one-time item), Stock trading near support after recent decline, Technical indicators showing mixed signals, Prolonged monsoons impacting demand, Historical underperformance (0.2/100 avg score, 0% success rate)",82,1,70.7,"ACC Q2 net profit soars 5x to Rs 1,119 crore on tax write-back and record sales ","ACC delivered exceptional Q2 results with 5x profit surge to ₹1,119cr (though ₹671cr from tax write-back). Core business strength evident: highest-ever September quarter revenue (₹5,932cr, +28% YoY), "
2,CANBK,CANARA BANK,71.6,bullish,BUY,"sector_momentum, price_breakout, 52_week_high","profit_booking_at_highs, broader_market_weakness, sector_rotation_risk",70,2,74.4,"Bank of India, Canara Bank among 6 PSU banking stocks to hit 52-week highs; gain up to 14% in a mont","CANBK hit fresh 52-week high at ₹138.55 with 11% monthly gain, part of broader PSU banking rally. Six PSU banks touched new highs despite Sensex falling 465 points, showing strong sector momentum and "
3,MARUTI,MARUTI SUZUKI INDIA LIMITED,71.1,bullish,BUY,"sales_growth, market_share_expansion, sector_momentum, festive_season_demand","volume_decline_concern, resistance_at_16375, macd_showing_mixed_signals, premium_valuation",75,1,62.6,"Maruti Suzuki sales rise 7% in October to 2.21 lakh units, hit record domestic high","MARUTI reported 7% YoY sales growth to 2.21 lakh units with all-time high domestic sales of 1.81 lakh units (+10.75% YoY). Strong performance across segments: compact cars +15.5%, SUVs +9.8%, vans +16"
4,RELIANCE,RELIANCE INDUSTRIES LIMITED,69.3,bullish,BUY,"analyst_upgrade, institutional_sentiment, ai_investment, green_energy, value_unlock","Refining margin compression from China competition, O2C business headwinds, High valuation multiples, Execution risk on $15B AI/energy capex",72,1,48.3,"Morgan Stanley adds RIL, Varun Beverages to its focus list. Here’s why these 2 largecaps made the cu",Morgan Stanley's addition of RIL to its Asia Pacific focus list signals strong institutional conviction. The brokerage projects $50B value unlock through AI ($15B investment by 2027 with NVIDIA/Google
5,MADHUSUDAN,MADHUSUDAN MASALA LIMITED,60.8,bullish,HOLD,"insider_activity, portfolio_momentum, sector_momentum","Portfolio disclosure lag - Q2 data may be outdated, Mixed performance - 3 of 15 stocks declined in FY26, Indirect catalyst - no direct company-specific news, New bet disclosure may already be priced in",58,1,46.1,Madhusudan Kela Portfolio: 7 stocks rally up to 67% in FY26; fresh bet in Q2 revealed ,"Madhusudan Kela, a renowned investor, disclosed holdings in 15 stocks with total portfolio value of ₹2,817 crore as of September 2025. Seven stocks delivered double-digit returns (10-67% in FY26), ind"
6,PRUDENT,PRUDENT CORPORATE ADVISORY SERVICES LIMITED,47.7,neutral,HOLD,"debt_acquisition, business_expansion","unlisted_stock_not_tradeable, court_proceedings_pending, recovery_uncertainty, no_public_market_liquidity",75,1,37.7,Canara Bank-led consortium sells KTPL's Rs 520-crore debt to Prudent ARC ,"This news relates to Prudent ARC Limited, an unlisted private Asset Reconstruction Company, NOT the publicly traded Prudent Corporate Advisory Services (NSE: PRUDENT). The ₹520 crore debt acquisition "
7,URBAN,URBAN ENVIRO WASTE MANAGEMENT LIMITED,45.5,bearish,HOLD,"earnings, expansion","Net loss widened 29.5x YoY from Rs 2cr to Rs 59cr, New vertical Insta Help bleeding Rs 44cr in Q2, dragging profitability, EBITDA margin compression in core India business (3.1% to 2.4%), Continued losses expected in near-term per management guidance, High cash burn rate with expansion into UAE and new verticals",85,1,45.6,"Urban Company Q2 results: Cons net loss widens YoY to Rs 59 crore, revenue zooms 37% ","Urban Company reported strong 37% revenue growth to Rs 380cr, but net loss exploded 29.5x to Rs 59cr due to Rs 44cr losses from new Insta Help vertical. While revenue retention is solid and internatio"
8,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,45.4,bearish,HOLD,"earnings, results_metrics","Q2 PAT declined 13.6% YoY to ₹140.21cr indicating earnings pressure, Revenue declined marginally by 1% YoY showing weak top-line growth, Total expenses increased 17.1% YoY squeezing margins, Stock closed down 1.5% on Friday suggesting negative market reaction, High P/E of 62.99 leaves limited valuation cushion for negative news, Historical results/metrics catalyst performance is poor (0% success rate), RSI at 36.70 approaching oversold but still in bearish territory",90,1,53.7,"CDSL Q2 results: Cons PAT declines over 13% YoY to Rs 140.21 cr, revenue slides marginally ",CDSL reported disappointing Q2 results with 13.6% YoY PAT decline and marginal revenue contraction despite sequential improvement. The depository business faces headwinds with increasing expenses (up 
9,FOCUS,FOCUS LIGHTING AND FIXTURES LIMITED,34.2,neutral,HOLD,,"News has zero relevance to Focus Lighting company, Stock in strong sell territory per technicals (MACD -0.51), Trading below all major moving averages (50-day, 200-day), No profit reported in recent quarter vs ₹9.68cr profit YoY, Ticker mismatch - news about RIL/VBL, not FOCUS company",95,1,34.3,"Morgan Stanley adds RIL, Varun Beverages to its focus list. Here’s why these 2 largecaps made the cu","This news is completely irrelevant to Focus Lighting & Fixtures Ltd (NSE:FOCUS). The article discusses Morgan Stanley's 'focus list' (their stock recommendations) featuring RIL and Varun Beverages, no"
10,STANLEY,STANLEY LIFESTYLES LIMITED,29.4,neutral,SELL,,"News is completely irrelevant to STANLEY ticker (furniture company), Stock showing technical weakness with bearish MACD and below moving averages, Poor fundamental scores (EPS Rank 56, RS Rating 27), Down 41% from IPO price in just 5 months, High PE ratio of 67.63 indicates overvaluation",95,1,28.0,"Morgan Stanley adds RIL, Varun Beverages to its focus list. Here’s why these 2 largecaps made the cu","This news article about Morgan Stanley adding Reliance Industries and Varun Beverages to its focus list has ZERO relevance to Stanley Lifestyles Ltd (STANLEY ticker), which is a luxury furniture manuf"
