rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning
1,KEC,KEC,50.0,neutral,HOLD,,,,30.0,1,22.75136717650716,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
2,PETRONET,PETRONET,50.0,neutral,HOLD,,,,30.0,1,49.65868138735548,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
3,DEEPAKNTR,DEEPAKNTR,50.0,neutral,HOLD,,,,30.0,1,25.34409529994238,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
4,AURIGROW,AURIGROW,50.0,neutral,HOLD,,,,30.0,1,50.0,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
5,SAGILITY,SAGILITY,50.0,neutral,HOLD,,,,30.0,1,69.66220370767032,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
6,CIPLA,CIPLA,50.0,neutral,HOLD,,,,30.0,1,40.3261821742043,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
7,UPL,UPL,50.0,neutral,HOLD,,,,30.0,1,70.57263669967398,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
8,BANARBEADS,BANARBEADS,50.0,neutral,HOLD,,,,30.0,1,50.78594804724098,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
9,ALPA,ALPA,50.0,neutral,HOLD,,,,30.0,1,49.75768362306122,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
10,DBCORP,DBCORP,50.0,neutral,HOLD,,,,30.0,1,50.33467196672889,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
11,BFUTILITIE,BFUTILITIE,50.0,neutral,HOLD,,,,30.0,1,22.97639012891605,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
12,VIKRAMAR,VIKRAMAR,50.0,neutral,HOLD,,,,30.0,1,29.10009130884785,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
13,BHEL,BHEL,50.0,neutral,HOLD,,,,30.0,1,73.64184352525766,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
14,CAPACITE,CAPACITE,50.0,neutral,HOLD,,,,30.0,1,50.401844370710094,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
15,CROMPTON,CROMPTON,50.0,neutral,HOLD,,,,30.0,1,43.015235985560935,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
16,DATAPATTNS,DATAPATTNS,50.0,neutral,HOLD,,,,30.0,1,44.496315971983236,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
17,EASEMYTRIP,EASEMYTRIP,50.0,neutral,HOLD,,,,30.0,1,44.76191124946924,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
18,GATECHDVR,GATECHDVR,50.0,neutral,HOLD,,,,30.0,1,42.85713069293357,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
19,HUDCO,HUDCO,50.0,neutral,HOLD,,,,30.0,1,54.95868366325451,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
20,IDBI,IDBI,50.0,neutral,HOLD,,,,30.0,1,69.93060900721146,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
21,MGL,MGL,50.0,neutral,HOLD,,,,30.0,1,43.26346566768696,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
22,NBCC,NBCC,50.0,neutral,HOLD,,,,30.0,1,60.68375540372279,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
23,RBLBANK,RBLBANK,50.0,neutral,HOLD,,,,30.0,1,72.60898571212999,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
24,GLENMARK,GLENMARK,50.0,neutral,HOLD,,,,30.0,1,38.71418800559542,Technical-only assessment (no recent news),Detected 0 catalyst(s). Risks: None. Evidence: n/a. From unknown source [unknown:0.65]. Score: 43/100. Certainty: 30%. NEUTRAL.
