rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,headline,reasoning
1,SOLEX,SOLEX ENERGY LIMITED,78.6,bullish,BUY,"investment, expansion, export_strategy, sector_momentum","US tariff exposure (up to 50%), Indian solar oversupply in 2026, Funding execution risk ($1.5B phased), Technical dependence on non-Chinese tech unproven",82,2,38.0,"Solex Energy to invest $1.5 billion in solar manufacturing, eyes US exports","Solex Energy announces confirmed $1.5B (₹12,825cr) capex over 5 years to scale from 4GW to 10GW module capacity plus backward integration (10GW cells, 2GW wafers). Reuters-sourced article with specifi"
2,BRIGADE,BRIGADE ENTERPRISES LIMITED,74.9,bullish,BUY,"earnings, revenue_growth, sector_momentum, leasing_expansion","EBITDA margin compression from 27.23% to 23.71%, Stock trading below 100-DMA and 200-DMA indicating technical weakness, Real estate sector volatility, High PE ratio of 32.62 suggests premium valuation",85,1,59.9,Brigade Group’s PAT up 48% at ₹170 crore for Q2FY26,"Brigade Group delivered exceptional Q2FY26 results with 48% YoY PAT growth to ₹170 crore and 26% revenue growth to ₹1,430 crore, supported by strong pre-sales of ₹2,034 crore and robust leasing portfo"
3,HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED,74.3,bullish,BUY,"earnings, volume_growth, margin_expansion, sector_momentum","Small market cap limits institutional interest, Cement sector near-term pricing pressure, High PE ratio of 46x indicates expensive valuation",85,1,57.8,Heidelberg Cement India Q2 Results: Profit surges two-fold to Rs 25 crore ,"Heidelberg Cement Q2 results show exceptional profit growth (122% YoY to ₹25cr), driven by 9.2% volume growth and 2% price improvement. EBITDA per tonne surged 41% YoY to ₹535/tonne due to 2% decline "
4,NMDC,NMDC LIMITED,74.0,bullish,HOLD,"earnings, sector_momentum","Still loss-making despite improvement, High operating expenses (₹3593cr vs ₹3411cr revenue), Raw material cost pressure, Young plant with operational challenges, Weak short-term technicals (price below 5-day MA)",75,2,59.2,NMDC Steel Q2 loss narrows to  ₹114 crore,"NMDC Steel showed significant improvement with Q2 loss narrowing 80% YoY to ₹115cr from ₹595cr, while revenue more than doubled to ₹3,411cr. However, still loss-making with expenses exceeding revenue."
5,SAIL,STEEL AUTHORITY OF INDIA LIMITED,73.7,bullish,BUY,"earnings_anticipation, intraday_price_movement, sector_momentum, technical_breakout","Earnings disappointment if Q2 results miss expectations, Profit booking after 8% surge and 52-week high, MACD showing slight bearish divergence at -0.3",72,1,77.0,"SAIL shares surge 8% to record high ahead of Q2 results. Should you buy, sell or hold? ","SAIL surged 8.2% to 52-week high of ₹143.20 ahead of Q2 earnings, backed by strong Q1 performance (9x profit jump to ₹745cr). Technical breakout above all 8 SMAs with expert targets of ₹145-150. High "
6,ARVIND,ARVIND LIMITED,71.5,bullish,HOLD,"expansion, contract, investment","Stock in downtrend (-30% YoY), Technical indicators bearish (MACD -9.59), Real estate sector cyclical risk, Project execution risk",75,2,53.5,Arvind SmartSpaces eyes over Rs 700 cr revenue from housing project at Vadodara ,Arvind SmartSpaces announces Rs 700cr+ revenue potential from Vadodara housing project (23rd project in Gujarat). This is a confirmed Joint Development with specific revenue target from tier-1 source 
7,QUESS,QUESS CORP LIMITED,68.5,bullish,BUY,"earnings, expansion, sector_momentum","Modest 3% revenue growth may disappoint growth-focused investors, EBITDA margin at 2% remains thin despite improvement, Labor-intensive business model susceptible to wage inflation",75,1,48.1,"Quess Corp Q2 Results: Revenue up 3%, headcount rises by 21,000 ","Quess Corp delivered record EBITDA of ₹77 crore (+11% YoY) with improved margins (2%, +13 bps YoY). Strong operational execution shown through 21,000 headcount addition in festive season and 47% manpo"
8,SWIGGY,SWIGGY LIMITED,66.0,bullish,HOLD,"investment, capital_raise, expansion","QIP dilution concerns, Early stage discussions, Quick commerce burn rate, Competitive pressure from Zomato/Blinkit",55,1,40.6,Swiggy mulls adding up to $1.5 billion QIP to cart ,"Swiggy's potential $1-1.5B QIP ($1.5B = ₹12,375cr) signals aggressive expansion plans and transition to inventory-led quick commerce model. While discussions are early-stage (reducing certainty to 55%"
9,BHEL,BHARAT HEAVY ELECTRICALS LIMITED,65.4,bullish,BUY,"technical_breakout, momentum_surge, analyst_recommendation","Technical analysis only - no fundamental catalyst, Dependence on channel holding, Stop-loss breach if consolidation returns, Pure momentum play without earnings/contract news",68,1,57.5,Stock to buy today: BHEL (₹245.55) – BUY,"BHEL shows strong technical momentum with 3%+ breakout from 2-week consolidation between ₹230-240, now trading at ₹245.55. Stock is in bull channel since mid-August with clear support at ₹240-235 and "
10,MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,63.9,bullish,HOLD,"innovation_recognition, technology_advancement, r&d_milestone, sector_positioning","award_news_limited_financial_impact, no_revenue_figures_disclosed, implementation_timeline_unclear, commercial_scale_unspecified",58,1,67.6,MRPL wins Innovation Award at Energy Technology Meet,MRPL's Innovation Award for indigenous crude-to-chemicals technology demonstrates strong R&D capabilities and positions the company ahead in sustainable refining. While the award validates technologic
