rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,current_price,price_timestamp,entry_zone_low,entry_zone_high,target_conservative,target_aggressive,stop_loss,fundamental_adjustment,quarterly_earnings_growth_yoy,annual_earnings_growth_yoy,profit_margin_pct,debt_to_equity,is_profitable,net_worth_positive,financial_health_status,headline,reasoning
1,BRITANNIA,BRITANNIA INDUSTRIES LIMITED,84.4,bullish,HOLD,"earnings, profit_growth, cost_optimization, leadership_change, broker_upgrade, intraday_price_movement","GST transition challenges impacting supply chain short-term, Growing competition from regional players, Volume growth needed to sustain momentum, Flat revenue growth at 3.7% YoY indicates demand pressure",90,1,54.2,6065.00,2025-11-06T10:52:40.073321,6004.35,6065.00,6307.60,6550.20,5822.40,+5.60,2.98,1.82,11.48,0.29,TRUE,TRUE,healthy,Britannia Industries shares jump 5% as Q2 net profit rises 23% to Rs 655 crore; Nuvama maintains Buy,"Britannia delivered exceptional Q2 results with 23% YoY profit growth to ₹655cr driven by cost optimization and stable commodity prices. Strong technical confirmation with 5% intraday jump, RSI at 63."
2,PAYTM,ONE 97 COMMUNICATIONS LIMITED,74.2,bullish,BUY,"msci_inclusion, sector_momentum, intraday_price_movement, institutional_interest, analyst_upgrade","Q2 profit declined 98% YoY due to Rs 190cr impairment charge, Company still not profitable on annual basis (-9.77% margin), High retail sentiment may lead to profit-booking at resistance, MSCI inclusion effect may already be priced in by Nov 24 effective date",72,1,60.2,1309.00,2025-11-06T10:59:01.779907,1289.37,1315.54,1341.72,1374.45,1276.27,+4.06,114.60,53.51,6.39,0.01,FALSE,TRUE,moderate,Paytm shares rally 4% in early trade despite weak Q2 show. Here are 3 reasons why ,"Strong multi-catalyst setup: (1) MSCI India Standard Index inclusion effective Nov 24 will drive institutional buying, (2) Citi maintains Rs 1,500 target (14.6% upside from current), (3) 4% intraday r"
3,FOCUS,FOCUS LIGHTING AND FIXTURES LIMITED,59.2,bearish,HOLD,"institutional_exit, block_deal, stake_dilution","Major institutional investor (M&M) exiting completely signals lack of confidence, Large block sale at Rs 321 vs current price Rs 82.47 creates massive overhang pressure, Stock trading below 20DMA (-4.3%) and 50DMA (-9.1%) in established downtrend, Weak momentum (-7.4% over 10 days) and low volume (0.25x average) indicates lack of buying interest, RSI at 48 in neutral zone but trending toward oversold without bullish reversal signals, Wrong ticker confusion: News is about RBL Bank, analysis requested for FOCUS - major data mismatch",90,2,36.8,82.47,2025-11-06T09:52:34.658020,81.23,82.88,84.53,86.59,80.41,+8.00,,408.31,13.74,0.03,TRUE,TRUE,healthy,RBL Bank shares in focus as M&M sells entire 3.45% stake via Rs 678 crore block deal: Report ,"CRITICAL ERROR: News article is about RBL Bank (M&M selling 3.45% stake at Rs 321/share for Rs 678cr), but analysis requested for ticker FOCUS trading at Rs 82.47. This is a fundamental data mismatch."
4,BSE,BSE LIMITED,53.0,neutral,HOLD,ipo_listing_event,"Article is about Lenskart IPO, not BSE business fundamentals, BSE mentioned only as platform for allotment checking, No direct financial catalyst for BSE stock, Neutral technicals with RSI at 49, price near 20DMA",85,1,51.3,2448.00,2025-11-06T10:53:20.936934,2411.28,2460.24,2509.20,2570.40,2386.80,+9.26,103.51,70.34,56.28,0.00,TRUE,TRUE,healthy,Lenskart IPO Allotment Status Live: How to check status on BSE and MUFG Intime; GMP hints at 10% lis,This article discusses Lenskart's IPO allotment status and uses BSE only as the platform for checking allotment. There is no direct catalyst for BSE stock itself. While BSE benefits indirectly from IP
5,DELHIVERY,DELHIVERY LIMITED,51.6,bearish,SELL,"earnings_miss, leadership_change, profitability_concerns","Q2 net loss of ₹50.38 crore vs profit of ₹10.20 crore YoY, CFO transition amid challenging quarter, Integration costs of ₹90 crore from Ecom Express acquisition, Stock already down 8.5% intraday with high selling pressure, Price below both 20DMA (-4%) and 50DMA (-3.5%)",90,1,45.0,450.65,2025-11-06T10:54:14.547199,443.89,452.90,461.92,473.18,439.38,+9.94,67.49,165.06,3.97,0.15,TRUE,TRUE,healthy,"Delhivery shares plunge over 8% after reporting Q2 loss, leadership shake-up ","Delhivery reported a significant Q2 loss of ₹50.38 crore compared to ₹10.20 crore profit YoY, despite 16.9% revenue growth. The loss was driven by ₹90 crore integration costs from Ecom Express acquisi"
6,HINDALCO,HINDALCO INDUSTRIES LIMITED,49.8,bearish,SELL,"industrial_accident, earnings_downgrade, operational_disruption","Novelis FY26 free cash flow hit of $550-650 million (~₹4,600-5,450 crore), EBITDA loss of $100-150 million (~₹840-1,260 crore), Plant restart delayed until end-December with 4-6 week production ramp-up, Quarterly earnings and cash flows severely impacted in near term, Insurance recovery subject to deductibles and policy limits, Novelis supplies automotive and beverage can industries - supply chain disruption risk",90,1,52.8,771.60,2025-11-06T10:55:49.287302,760.03,775.46,790.89,810.18,752.31,+7.22,30.25,57.57,6.23,0.52,TRUE,TRUE,healthy,Hindalco shares drop 6% after Novelis flags $550–650 million cash flow hit from New York plant fire ,Confirmed negative catalyst with specific financial impact quantified by Novelis. The $550-650M cash flow hit and $100-150M EBITDA loss represent material damage to Hindalco's wholly-owned subsidiary.
7,PREMIUM,PREMIUM PLAST LIMITED,49.7,neutral,HOLD,"ipo_listing, institutional_demand","No fresh capital raised (pure OFS reduces growth catalyst), Modest 3% listing premium despite 12.7x oversubscription, High valuation at 31.7x FY25 earnings limits upside, Revenue growth only 3% YoY indicates sluggish top-line momentum, Regional concentration risk (southern India focused)",85,1,,,2025-11-06T10:34:52.119832,,,,,,+2.00,,,,,,,healthy,Orkla India shares list at 3% premium over IPO price ,"Orkla India listed at only 3% premium despite strong IPO subscription (12.7x), indicating muted market enthusiasm post-listing. While the company has solid fundamentals (16.6% EBITDA margin, 32.7% ROC"
8,NUVAMA,NUVAMA WEALTH MANAGEMENT LIMITED,47.2,neutral,HOLD,,"Article is about Sun Pharma, not NUVAMA - ticker mismatch, No direct news or catalyst for NUVAMA identified, Brokerage HOLD rating with downside target suggests neutral-to-negative sentiment for Sun Pharma, Complete irrelevance to NUVAMA's business or financials",95,2,60.9,7347.00,2025-11-06T10:58:27.132522,7236.80,7383.73,7530.67,7714.35,7163.32,+3.25,19.43,57.71,50.00,2.25,TRUE,TRUE,moderate,"Sun Pharma shares in focus after muted Q2 earnings. Nuvama maintains hold with Rs 1,800 target ","This article discusses Sun Pharmaceutical Industries' Q2 FY26 earnings and Nuvama's analyst rating on Sun Pharma stock (target Rs 1,800). There is NO news about NUVAMA (the brokerage/financial service"
9,SYNGENE,SYNGENE INTERNATIONAL LIMITED,45.2,bearish,SELL,"earnings, negative_results","37% YoY profit decline indicates operational challenges, Biologics manufacturing inventory correction impacting current quarter, Q2 earnings decline despite 2% revenue growth shows margin compression, US biotech funding environment still uncertain despite early improvement signs",85,1,44.7,620.60,2025-11-06T11:00:23.592110,614.39,620.60,645.42,670.25,595.78,+3.12,14.53,-2.71,9.91,0.12,TRUE,TRUE,moderate,"Syngene International Q2 results: Net profit drops 37% to ₹67 cr, revenues rise 2%","SYNGENE reported a severe 37% YoY profit decline to ₹67cr despite 2% revenue growth, indicating significant margin compression. The biologics inventory correction and weak profitability are confirmed "
10,GRASIM,GRASIM INDUSTRIES LIMITED,44.8,bearish,HOLD,"earnings, price_decline","Stock declined 4% despite strong earnings, indicating negative market sentiment, Standalone EBITDA down 5% sequentially shows near-term weakness, Caustic soda division remains weak per Nuvama analysis, New B2B paints segment weighing on profitability, Technical indicators show downtrend (RSI 41, price below 20/50DMA), High volume on decline suggests distribution",75,1,41.1,2728.50,2025-11-06T10:55:07.570200,2687.57,2742.14,2796.71,2864.93,2660.29,+1.53,31.97,-34.12,3.54,1.91,TRUE,TRUE,moderate,Grasim Industries shares fall 4% after reporting Q2 results. Should you buy the dip? ,"Despite strong Q2 results (76% YoY profit growth, 16.6% revenue growth, 29% EBITDA growth), stock fell 4% indicating market disappointment. Nuvama maintains HOLD rating with ₹3,198 target (17% upside "
