rank,ticker,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,headline,reasoning
1,RELIANCE,99.3,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,7,N/A,Reliance may ‘completely halt’ Russian oil purchases; ‘massive cuts’ in crude imports likely after U,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
2,TRU,99.0,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,5,N/A,"Tata Trust saga: Srinivasan permanent trusteeship a formality, say four trustees; want similar renew",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
3,IT,98.8,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,4,N/A,"AI is boosting the legacy business for top Indian IT firms, for now",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
4,GLOBAL,98.3,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,3,N/A,Viswanathan Anand inaugurates Global Chess League Experience center in Dallas,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
5,CONS,98.3,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,3,N/A,PrimaLend’s Bankruptcy Renews Focus on Subprime Consumer Strain,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
6,TI,98.3,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,3,N/A,"Silver in bear market grip already, but only if you are invested in ETFs. Time to sell? ",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
7,TRUST,97.5,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,"Tata Trust saga: Srinivasan permanent trusteeship a formality, say four trustees; want similar renew",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
8,CONSUMER,97.5,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,PrimaLend’s Bankruptcy Renews Focus on Subprime Consumer Strain,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
9,TECH,97.5,neutral,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,"Top gainers & losers today, 23 October: Infosys, HCL Tech, TCS lead gains; Adani Ports, UltraTech Ce",Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. NEUTRAL sentiment.
10,TATAMOTORS,97.5,bullish,STRONG BUY,"earnings, M&A, investment, contract",,95,2,N/A,Scrip change: Tata Motors to be renamed Tata Motors Passenger Vehicles from October 24 ,Detected 4 catalyst(s). Score: 100/100. Certainty: 95%. BULLISH sentiment.
