rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,expected_exit_price,stop_loss_price,stop,trail,alert
1,INDINFO,INDINFO,95.0,neutral,IMMEDIATE_EXIT,Price 7.9% below 20-day SMA (breakdown); Price 22.6% below 50-day SMA; RSI oversold at 27.8 (potential further downside); Negative 10-day momentum: -8.7%; Low volume on downtrend (weak support),,,50.0,1,100,Technical-only assessment (no recent news),Tech-driven assessment: score=75; signals: Price 7.9% below 20-day SMA (breakdown); Price 22.6% below 50-day SMA,,close< 0.69 (swing_low - 1.0*ATR),close< 0.69 (swing_low - 1.0*ATR),0.06 (1.5×ATR),20DMA
2,VIKRAMAR,VIKRAMAR,81.6,neutral,IMMEDIATE_EXIT,Price 5.5% below 20-day SMA (breakdown); Price 13.5% below 50-day SMA; RSI oversold at 29.1 (potential further downside); Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish),Some warning signs present,,50.0,1,85,Technical-only assessment (no recent news),Tech-driven assessment: score=68; signals: Price 5.5% below 20-day SMA (breakdown); Price 13.5% below 50-day SMA,,close< 73.13 (swing_low - 1.0*ATR),close< 73.13 (swing_low - 1.0*ATR),7.61 (1.5×ATR),20DMA
3,BFUTILITIE,BFUTILITIE,77.2,neutral,MONITOR,Price 5.2% below 20-day SMA (breakdown); RSI oversold at 23.0 (potential further downside); Negative 10-day momentum: -6.7%; Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish),Some warning signs present,,50.0,1,80,Technical-only assessment (no recent news),Tech-driven assessment: score=66; signals: Price 5.2% below 20-day SMA (breakdown); RSI oversold at 23.0 (potential further downside),,close< 707.76 (swing_low - 1.0*ATR),close< 707.76 (swing_low - 1.0*ATR),34.79 (1.5×ATR),20DMA
4,KEC,KEC,36.6,neutral,HOLD,RSI oversold at 22.8 (potential further downside); Low volume on downtrend (weak support); Close below lower Bollinger band; Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,35,Technical-only assessment (no recent news),Tech-driven assessment: score=43; signals: RSI oversold at 22.8 (potential further downside); Low volume on downtrend (weak support),,close< 801.91 (swing_low - 1.0*ATR),close< 801.91 (swing_low - 1.0*ATR),23.76 (1.5×ATR),20DMA
5,DBCORP,DBCORP,34.4,neutral,HOLD,Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish); High short-term volatility (ATR 4.5% of price),No urgent exit signals,,50.0,1,33,Technical-only assessment (no recent news),Tech-driven assessment: score=40; signals: Low volume on downtrend (weak support); Death cross: 20-day SMA below 50-day SMA (bearish),,close< 227.37 (swing_low - 1.0*ATR),close< 227.37 (swing_low - 1.0*ATR),18.05 (1.5×ATR),20DMA
6,DEEPAKNTR,DEEPAKNTR,29.0,neutral,HOLD,RSI oversold at 25.3 (potential further downside); Unusual volume spike on down move; Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,27,Technical-only assessment (no recent news),Tech-driven assessment: score=37; signals: RSI oversold at 25.3 (potential further downside); Unusual volume spike on down move,,close< 1703.29 (swing_low - 1.0*ATR),close< 1703.29 (swing_low - 1.0*ATR),37.67 (1.5×ATR),20DMA
7,CROMPTON,CROMPTON,29.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,27,Technical-only assessment (no recent news),Tech-driven assessment: score=37; signals: Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,,close< 274.38 (swing_low - 1.0*ATR),close< 274.38 (swing_low - 1.0*ATR),8.58 (1.5×ATR),20DMA
8,EASEMYTRIP,EASEMYTRIP,29.0,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,27,Technical-only assessment (no recent news),Tech-driven assessment: score=37; signals: Death cross: 20-day SMA below 50-day SMA (bearish); Daily and weekly trends aligned down,,close< 7.70 (swing_low - 1.0*ATR),close< 7.70 (swing_low - 1.0*ATR),0.23 (1.5×ATR),20DMA
9,GATECHDVR,GATECHDVR,24.6,neutral,HOLD,Unusual volume spike on down move; High short-term volatility (ATR 5.6% of price); Daily and weekly trends aligned down,No urgent exit signals,,50.0,1,22,Technical-only assessment (no recent news),Tech-driven assessment: score=35; signals: Unusual volume spike on down move; High short-term volatility (ATR 5.6% of price),,close< 0.48 (swing_low - 1.0*ATR),close< 0.48 (swing_low - 1.0*ATR),0.04 (1.5×ATR),20DMA
10,ALPA,ALPA,22.8,neutral,HOLD,Death cross: 20-day SMA below 50-day SMA (bearish),No urgent exit signals,,50.0,1,20,Technical-only assessment (no recent news),Tech-driven assessment: score=34; signals: Death cross: 20-day SMA below 50-day SMA (bearish),,close< 84.45 (swing_low - 1.0*ATR),close< 84.45 (swing_low - 1.0*ATR),3.48 (1.5×ATR),20DMA
