ticker,close,alpha,final_pick,marketcap_cr,existing_rank,momentum_20,momentum_60,momentum_3,rvol,rvol_norm,pbz,pbz_norm,squeeze,breakout,squeeze_bo_score,bb_width,trend_sma50,trend_sma200,rsi14,catalyst_type,catalyst_count,deal_value_cr,sentiment,certainty,news_score,mom20_norm,mom60_norm,atr20,stop_loss,tp1,tp2,trail_stop,impact_pct,gate_flags,headline_text,headline_count
AXISBANK.NS,2171.5681977791287,59.16759852350641,0,350000,8,71.23055570107563,93.59401807131657,52.14645079300855,3.00021295259359,100.0,69.62089420452727,69.62089420452727,1,0,70,203.20130102240546,1,0,55.610743535147456,none,0,0,neutral,0,0.0,71.23055570107563,93.59401807131657,82.3519720511729,2062.989787890172,2295.096155855888,2418.6241139326476,1965.6882676511964,5.688421768337358,alpha:False|rvol:True|trend:True|volatility:True|all:False,N/A,0
WIPRO.NS,1259.887770110901,57.62532120325833,0,380000,5,98.15144195906642,99.8944060583116,62.846595751067994,0.7447800834593159,24.826002781977195,72.96391703033672,72.96391703033672,0,1,50,372.75199352967775,1,0,83.51480714874504,none,0,0,neutral,0,0.0,98.15144195906642,99.8944060583116,52.13960425099426,1196.893381605356,1338.0971764873925,1416.306582863884,1129.5387594834156,6.207648667754515,alpha:False|rvol:False|trend:True|volatility:True|all:False,N/A,0
BHARTIARTL.NS,1035.4756556437637,54.37127274881966,0,380000,16,71.61446068073573,99.7364426562318,63.500218914520964,0.9519325910571628,31.731086368572093,81.26147701031564,81.26147701031564,1,0,70,88.16978581490639,1,0,61.48541092159085,none,0,0,neutral,0,0.0,71.61446068073573,99.7364426562318,45.073539918916154,983.7018728615755,1103.085965522138,1170.6962754005121,922.7918058464734,6.529396370631265,alpha:False|rvol:False|trend:True|volatility:True|all:False,N/A,0
TATASTEEL.NS,2149.5499883093566,54.18576935166695,0,180000,18,93.45310470893347,99.96149180205902,68.3800769378808,0.9996539644398942,33.32179881466314,72.96129725249043,72.96129725249043,0,0,20,678.9447722036928,1,0,76.67291754983012,none,0,0,neutral,0,0.0,93.45310470893347,99.96149180205902,91.76391046556797,2042.0724888938887,2287.1958540077085,2424.8417197060608,1920.1402121454366,6.403473585027521,alpha:False|rvol:False|trend:True|volatility:False|all:False,N/A,0
TATAPOWER.NS,1124.919208930609,52.88016279399622,0,120000,22,84.80104410354524,95.61443860282971,51.51983216797045,1.7070917869757125,56.903059565857085,65.06454230995367,65.06454230995367,0,0,20,310.782417309842,1,0,70.61119329007006,none,0,0,neutral,0,0.0,84.80104410354524,95.61443860282971,45.43029628291015,1068.6732484840786,1193.0646533549743,1261.2100977793395,1011.3434682233337,6.057807874855908,alpha:False|rvol:True|trend:True|volatility:False|all:False,N/A,0
NESTLEIND.NS,38713.78276299606,52.054812680846595,0,180000,11,85.38311083841019,95.54713015148005,41.60177007865657,1.4521930645401115,48.40643548467038,64.34681333806665,64.34681333806665,0,0,20,10339.722157379088,1,0,75.26799740061355,none,0,0,neutral,0,0.0,85.38311083841019,95.54713015148005,1501.1561864637818,36778.09362484625,40965.51704269173,43217.251322387405,34960.8922968366,5.81636336981246,alpha:False|rvol:False|trend:True|volatility:False|all:False,N/A,0
LTIM.NS,1139.221081511448,51.06273348643363,0,350000,24,94.74098924025645,96.56043186539031,71.53416413852885,0.07694764183581788,2.564921394527263,75.83944656159363,75.83944656159363,0,0,20,312.44918069663277,1,0,81.16807905390404,none,0,0,neutral,0,0.0,94.74098924025645,96.56043186539031,44.28713918246867,1082.2600274358754,1205.6517902851508,1272.082499058854,1028.5032335552762,5.831239418916543,alpha:False|rvol:False|trend:True|volatility:False|all:False,N/A,0
LANDT.NS,1631.6639027876683,50.855117826765955,0,250000,15,91.11703252315023,99.60399750547742,59.430403919990795,0.32190722466369726,10.730240822123243,70.19559313251744,70.19559313251744,0,0,20,359.07244841845113,1,0,94.5182028352367,none,0,0,neutral,0,0.0,91.11703252315023,99.60399750547742,61.96415809904232,1550.080707648285,1724.610139936232,1817.5563770847953,1476.7535075400626,5.6964082486452385,alpha:False|rvol:False|trend:True|volatility:False|all:False,N/A,0
RELIANCE.NS,10952.165884772918,50.35290742746814,0,1800000,1,91.05149691478358,98.23540951777996,49.350695133920134,0.40049846516374377,13.349948838791459,65.02087083320576,65.02087083320576,0,0,20,2579.491196798921,1,0,74.07563795041773,none,0,0,neutral,0,0.0,91.05149691478358,98.23540951777996,393.57575622867233,10404.557590534272,11542.529519115926,12132.893153458936,9968.226494201237,5.390382510219335,alpha:False|rvol:False|trend:True|volatility:False|all:False,N/A,0
SHRIRAMCIT.NS,1104.2054840467229,50.028102286594496,0,180000,21,76.63619930256823,98.99308423080663,60.06743384454774,1.1749976447239516,39.16658815746506,71.02025899066386,71.02025899066386,0,0,20,225.75868615185027,1,0,79.53634560119144,none,0,0,neutral,0,0.0,76.63619930256823,98.99308423080663,42.7223812910062,1048.9952098443866,1168.2890559832322,1232.3726279197415,997.3995308192074,5.80359116689532,alpha:False|rvol:False|trend:True|volatility:False|all:False,N/A,0
