rank,ticker,company_name,exit_urgency_score,sentiment,exit_recommendation,exit_catalysts,hold_reasons,risks_of_holding,certainty,articles_analyzed,technical_score,headline,reasoning,stop,trail,alert
1,INDINFO,INDINFO,84.1,neutral,IMMEDIATE_EXIT,Severe technical breakdown: -22.6% below 50DMA with death cross pattern forming; Price at 20-day low with RSI 27.78 showing continued downward momentum; Price below both 20DMA (-7.9%) and 50DMA (-22.6%) with declining volume confirmation; 10-day momentum at -8.75% with weekly and monthly downtrends intact; High volatility (5.19% ATR) with Bollinger Band position at -1.49 Z-score indicating extreme weakness,RSI near oversold territory (27.78) suggests potential near-term bounce; No fundamental news confirming permanent deterioration,Further downside risk with no technical support until significant lower levels; Declining volume (0.58x average) suggests lack of buying interest and potential for continued drift; Death cross pattern emerging (20DMA crossing below 50DMA) typically signals extended downtrend; No news buffer means any negative fundamental catalyst could accelerate decline; Opportunity cost high - capital trapped in declining asset during potential market opportunities,85.0,1,85,Technical-only assessment (no recent news),"IMMEDIATE EXIT recommended due to severe multi-timeframe technical breakdown with price 22.6% below 50DMA, forming death cross pattern, and sitting at 20-day lows. While RSI shows oversold conditions, the combination of broken support levels, declining volume, negative momentum across all timeframes, and absence of positive catalysts creates unacceptable risk/reward. Capital preservation priority justifies exit even at current depressed levels.",close< 0.69 (swing_low - 1.0*ATR),0.06 (1.5×ATR),20DMA
2,VIKRAMAR,VIKRAMAR,76.2,neutral,MONITOR,"Price broke below both 20DMA (-5.5%) and 50DMA (-13.5%) with confirmed downtrend; RSI at 29.1 shows oversold but momentum still negative with weak volume (0.34x avg); Death cross likely imminent (20DMA trending toward 50DMA), multi-timeframe bearish (weekly/monthly down); Bollinger Band position at -1.0 z-score suggests capitulation zone but no reversal confirmation; Low volume (965 vs 2816 avg) indicates lack of buying interest despite oversold conditions","No fundamental red flags visible - no news of earnings miss, debt issues, or regulatory problems; Oversold RSI (29.1) and BB position suggest potential mean reversion if support holds near ₹74.54; Distance from 20D low only 1.16% suggests already near capitulation - limited downside vs 13.4% upside to recent high","Confirmed multi-timeframe downtrend (daily/weekly/monthly) increases breakdown continuation risk; Volume drying up (34% of normal) suggests institutional distribution or lack of support; No positive catalysts visible - purely technical setup with no fundamental support; If ₹74.54 BB lower band breaks with volume, next support unknown - potential waterfall decline; Opportunity cost high - capital locked in declining asset while markets may offer better risk/reward",75.0,1,78,Technical-only assessment (no recent news),"MONITOR with tight stop-loss at ₹74.50 (BB lower band). Technical breakdown is severe (-13.5% below 50DMA, death cross forming, weak volume) but oversold conditions suggest bounce potential. However, absence of any positive news and multi-timeframe bearish trend makes this a deteriorating position. Consider 50% exit now, 50% exit if ₹74.50 breaks. Capital likely better deployed in stocks with positive catalysts.",close< 73.13 (swing_low - 1.0*ATR),7.61 (1.5×ATR),20DMA
3,KEC,KEC,74.1,neutral,MONITOR,Deep oversold RSI (22.75) indicates panic selling or material weakness; Price below both 20DMA (-3.5%) and 50DMA (-3.9%) confirming downtrend; At 20-day low with negative 10-day momentum (-3.3%); Low volume (0.47x avg) suggests weak conviction - bounce or breakdown unclear; Bollinger Band Z-score of -2.33 indicates extreme lower band position,Extreme RSI <25 historically marks reversal zones - capitulation signal; No fundamental news suggests technical washout rather than business deterioration; Low volume selloff (not climactic) may resolve with stabilization,Further breakdown below ₹817 (current 20D low) triggers technical cascade; Volume expansion on down move would confirm distribution; Absence of news creates information vacuum - unknown catalysts; ATR at 1.94% suggests volatility could accelerate losses; Death cross forming (20DMA approaching 50DMA) if no recovery,78.0,1,75,Technical-only assessment (no recent news),"Technical deterioration warrants close MONITORING with defensive action prepared. Extreme oversold conditions (RSI 22.75) suggest potential bounce, but multiple support levels broken without fundamental news raises concern. Implement ₹800 stop-loss (2% below current); exit 50% position if volume surges on next down leg. Reassess in 3-5 sessions - either reversal confirmation or accelerated exit required.",close< 801.91 (swing_low - 1.0*ATR),23.76 (1.5×ATR),20DMA
4,DEEPAKNTR,DEEPAKNTR,74.1,neutral,MONITOR,Price trading below both 20DMA (-2.6%) and 50DMA (-3.4%) indicating sustained downtrend; RSI at extreme oversold 25.34 with continued downward momentum (-2.36% 10d); Trading at 20-day low (0% distance) with volume spike (1.67x) confirming selling pressure; Bollinger Band position at -1.46 sigma suggesting technical breakdown below mean; Weekly and monthly trends both down indicating deteriorating longer-term structure,Extreme RSI oversold condition (25.34) may signal near-term bounce potential; No fundamental news available suggesting technical correction rather than business deterioration; Volume spike could represent capitulation selling ahead of reversal,Continued breakdown below 20DMA/50DMA increases probability of testing lower support levels; Absence of news creates uncertainty - could be sector rotation or undisclosed fundamental issues; Death cross risk if 20DMA crosses below 50DMA (currently separated by only ~15 points); ATR at 1.45% suggests increased volatility and risk of further downside gaps; Opportunity cost high if capital trapped in extended downtrend,78.0,1,75,Technical-only assessment (no recent news),"MONITOR closely for exit. Stock exhibits clear technical deterioration with price below key moving averages, extreme oversold RSI, and confirmed selling pressure on volume. While extreme oversold conditions may produce a relief bounce, the sustained multi-timeframe downtrend (weekly/monthly) and absence of fundamental catalysts warrant close monitoring. Consider partial exit to reduce exposure and strict stop-loss discipline.",close< 1703.29 (swing_low - 1.0*ATR),37.67 (1.5×ATR),20DMA
5,BFUTILITIE,BFUTILITIE,74.1,neutral,MONITOR,"Price broken below both 20DMA (-5.2%) and 50DMA (-7.4%) with confirmed downtrend; RSI deeply oversold at 23 indicating strong selling pressure and momentum exhaustion; Volume collapse to 31% of average suggests lack of buyer interest and potential liquidity risk; Triple trend confirmation: 10-day (-6.7%), weekly, and monthly all negative; Trading near lower Bollinger Band (z-score -1.29) with continued downside momentum","Extreme oversold RSI (23) historically signals potential mean reversion opportunity; Trading only 0.76% above 20-day low suggests limited downside from panic selling levels; No fundamental news indicates technical-only correction, not business deterioration",Death cross pattern imminent or confirmed (20DMA trending below 50DMA); Volume deterioration suggests institutional distribution and weakening support; No news available creates uncertainty about fundamental business health; Multiple timeframe breakdown increases probability of extended correction; Opportunity cost high - capital tied in downtrending asset with no visible catalyst,78.0,1,75,Technical-only assessment (no recent news),"MONITOR with tight stop-loss - stock exhibits severe technical deterioration across all timeframes with RSI at capitulation levels (23) and volume collapse. However, absence of fundamental news and extreme oversold conditions warrant 24-48 hour observation window before exit. Place stop-loss at 5-6% below current to protect against further breakdown. Exit immediately if volume returns on downside or if fundamental negative news emerges.",close< 707.76 (swing_low - 1.0*ATR),34.79 (1.5×ATR),20DMA
6,IDBI,IDBI,74.1,neutral,MONITOR,RSI 69.93 approaching overbought with price 9.6% above 20DMA signals short-term exhaustion; Bollinger Band z-score 2.42 indicates extreme extension beyond upper band - mean reversion risk; 5.3x volume spike at 20-day high suggests climax buying potentially marking temporary top; 13.2% rally in 10 days with no fundamental news raises fake rally/technical retracement concerns,"Strong uptrend confirmed across all timeframes (10d, weekly, monthly momentum positive); Price remains 11.7% above 50DMA with clean support structure - no breakdown signals yet; No fundamental deterioration, regulatory issues, or negative catalysts in news flow",Technical overextension with RSI nearing 70 and price 2.4 standard deviations above mean creates pullback vulnerability; Absence of news catalyst for 13% move suggests purely technical/momentum-driven rally that could reverse quickly; High ATR 3.36% indicates elevated volatility - potential for sharp 5-7% correction to retest 20DMA support at ₹94.70; Opportunity cost consideration - capital locked in extended position while other banking stocks may offer better risk/reward,68.0,1,75,Technical-only assessment (no recent news),"MONITOR closely with tight trailing stop. The technical setup shows classic overextension signals (RSI 70, BB breach, volume climax) despite strong trend structure. Lacking fundamental catalyst for the 13% rally increases fake rally risk. Book partial profits here and trail remainder with 5-6% stop below ₹98 to protect gains while allowing trend continuation possibility.",close< 87.77 (swing_low - 1.0*ATR),5.22 (1.5×ATR),20DMA
7,AURIGROW,AURIGROW,69.2,neutral,MONITOR,High volatility with 3.95% ATR indicating unstable price action; Recent 10-day momentum -3.45% shows deteriorating short-term trend; Lack of moving average data prevents support level identification; Extremely low price at ₹0.56 increases delisting/penny stock risk; No recent news creates information vacuum and uncertainty,Weekly trend remains positive (up) suggesting medium-term strength intact; RSI at neutral 50 indicates no oversold panic or overbought exhaustion; No concrete fundamental deterioration signals available,Penny stock category (₹0.56) carries inherent liquidity and manipulation risks; Missing technical indicators (SMA 20/50) prevent proper trend confirmation; Information asymmetry - no news may indicate company obscurity or distress; High ATR% suggests potential for sharp downside moves; Volume data incomplete - cannot assess institutional activity,65.0,1,68,Technical-only assessment (no recent news),"MONITOR position closely with 15% trailing stop-loss. While weekly trend remains positive and RSI neutral, the combination of penny stock status, high volatility (3.95% ATR), negative 10-day momentum, and information vacuum warrants heightened vigilance. Consider partial exit to reduce exposure given opportunity cost concerns.",,0.03 (1.5×ATR),
8,CIPLA,CIPLA,69.2,neutral,MONITOR,"Price trading below both 20DMA (-3.9%) and 50DMA (-3.7%) with sustained downtrend; RSI at 40.3 showing weakening momentum with 10-day decline of -4.8%; High volume spike (2.1x average) confirming selling pressure during decline; Trading near lower Bollinger Band (z-score -1.28) indicating oversold but with continued weakness; Weekly and monthly trends both negative, suggesting intermediate-term deterioration","No critical fundamental news or earnings warnings detected - technical correction only; RSI at 40.3 not yet oversold (<30), leaving room for mean reversion if support holds; Distance from 20-day low only 0.45% suggests potential support formation at current levels","Death cross risk if 20DMA continues declining toward 50DMA - currently separated by minimal gap; Volume-confirmed breakdown below 1500 psychological support could accelerate selling to 1467 (BB lower); Absence of news creates uncertainty - deterioration cause unknown (sector rotation, FII selling, or hidden fundamental issues); Opportunity cost high if capital reallocated to momentum stocks while CIPLA consolidates",78.0,1,68,Technical-only assessment (no recent news),"MONITOR closely with defensive stop-loss. Technical deterioration is real (price below SMAs, negative momentum, elevated selling volume) but lacks fundamental catalyst confirmation. Consider 25-30% partial exit to reduce risk while watching for breakdown below 1467 (BB lower) or recovery above 1520 (20DMA reclaim). No news suggests this may be sector-wide weakness rather than company-specific crisis.",close< 1458.95 (swing_low - 1.0*ATR),53.48 (1.5×ATR),20DMA
9,UPL,UPL,69.2,neutral,MONITOR,RSI overbought at 70.57 indicating potential exhaustion after 6.8% 10-day rally; Price touching Bollinger Band upper limit (BB z-score 2.11) suggesting overextension; Volume spike 2.15x average on up-move often marks short-term top; Strong technical run (+5.2% above 20DMA) may attract profit-booking; No fundamental news to justify continuation - rally appears momentum-driven,Price remains above both 20DMA and 50DMA showing intact uptrend structure; No fundamental deterioration signals or negative news present; ATR at 1.95% indicates normal volatility without panic selling,Overbought RSI combined with BB upper touch creates mean-reversion risk; Absence of news suggests rally lacks fundamental support - vulnerable to reversal; High volume on up-move may exhaust near-term buyers; Opportunity cost: capital locked in technically extended position,78.0,1,68,Technical-only assessment (no recent news),"MONITOR closely for exit. UPL shows classic technical overextension (RSI 70.57, BB upper touch, 2.15x volume spike) after a strong 6.8% 10-day rally with NO fundamental catalyst. While trend structure remains intact, the risk/reward is unfavorable at current levels. Consider taking partial profits or tightening stop-loss. Watch for RSI divergence or volume decline as exit triggers.",close< 655.90 (swing_low - 1.0*ATR),21.07 (1.5×ATR),20DMA
10,BHEL,BHEL,69.2,neutral,MONITOR,RSI 73.64 indicates severe overbought conditions with reversal risk; Price trading 2.77 standard deviations above Bollinger Band upper limit - extreme extension; Volume spike (2.27x average) on overbought levels suggests exhaustion rather than continuation; 14% momentum in 10 days creates unsustainable pace - likely profit-taking ahead; No fundamental catalysts to justify current technical extension,Price remains above both 20DMA (+10.5%) and 50DMA (+15%) showing intact uptrend structure; No negative news or fundamental deterioration detected; Weekly and monthly trends both positive - broader trend supportive,Mean reversion highly probable from extreme overbought RSI 73+ levels; BB breakout this extreme (2.77 SD) historically precedes 5-8% pullbacks; High volume on extended move often marks distribution phase; Public sector stock susceptible to policy/sentiment shifts without warning; Opportunity cost risk - capital locked in overextended position,78.0,1,68,Technical-only assessment (no recent news),"MONITOR with tight stop-loss. BHEL shows extreme technical extension (RSI 73.64, 2.77 SD above BB) with exhaustion volume, creating high reversal risk despite intact uptrend. Absence of fundamental catalysts makes current levels vulnerable. Consider 25-30% profit booking and trail remaining position with 6-7% stop-loss below current price.",close< 224.73 (swing_low - 1.0*ATR),9.32 (1.5×ATR),20DMA
