rank,ticker,company_name,ai_score,sentiment,recommendation,catalysts,risks,certainty,articles_count,quant_alpha,current_price,price_timestamp,entry_zone_low,entry_zone_high,target_conservative,target_aggressive,stop_loss,fundamental_adjustment,quarterly_earnings_growth_yoy,annual_earnings_growth_yoy,profit_margin_pct,debt_to_equity,is_profitable,net_worth_positive,financial_health_status,health_is_profitable,health_profit_loss,health_profit_loss_period,health_status,health_consecutive_losses,health_warning_flags,catalyst_score,has_dividend,dividend_amount,has_bonus,bonus_ratio,correction_detected,correction_pct,reversal_confirmed,correction_confidence,oversold_score,fundamental_confidence,catalyst_strength,boost_applied,boost_tier,correction_reasoning,risk_filters_passed,risk_violations,market_context,market_vix_level,supervisor_verdict,supervisor_confidence,supervision_notes,headline,reasoning
1,IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED,88.0,bullish,BUY,"contract, expansion, sector_momentum","Revenue-linked concession means uncertain cash flows dependent on traffic, High upfront payment (₹9,270cr) may strain liquidity/debt levels, Stock in downtrend with negative 10-day momentum (-4.93%), RSI at 32.64 indicates weak short-term momentum",85,1,40.5,43.00,2025-11-15T18:44:50.171290,42.35,43.21,44.07,45.15,41.92,+13.03,41.01,969.74,9.73,1.04,,TRUE,healthy,,,unknown,critical,None,ZERO_DATA_COLLECTED; CANNOT_VERIFY_COMPANY_EXISTS; NO_PROFITABILITY_DATA; NO_REVENUE_DATA; NO_FINANCIAL_STATEMENTS; ANALYSIS_IMPOSSIBLE; HIGH_UNCERTAINTY_RISK; POTENTIAL_TICKER_MISMATCH; DATA_PIPELINE_FAILURE,5,TRUE,,FALSE,,TRUE,13.0%,FALSE,0.30,55.0,45.0,0.0,,,Confidence below minimum,TRUE,,uncertain,0.5,CAUTION,0.60,⚠️  Decision flagged for caution review | Issues: Low correction confidence: 0.30 | Recommendation: ,"IRB Infrastructure Trust bags TOT project from NHAI in UP for upfront ₹9,270 cr","IRB Infrastructure Trust has secured a massive ₹9,270 crore TOT project from NHAI covering 366 km in Uttar Pradesh, confirmed via Letter of Award. This is a substantial contract (11.6% of their ₹80,00"
2,BLACKBUCK,ZINKA LOGISTICS SOLUTIONS LIMITED,83.0,bullish,BUY,"brokerage_upgrade, price_target, business_expansion, profitability_improvement","Target price ₹885 implies 26.6% upside - high expectations may lead to profit booking if near-term results disappoint, Superloads business still nascent (4 hubs only) - execution risk on growth projections, Near-term EBITDA margin compression expected (24.2% to 27.8%) due to Superloads investment, Valuation dependent on long-term FY42 projections - significant execution risk over 17-year horizon",80,1,59.8,698.00,2025-11-15T18:28:16.884095,691.02,698.00,725.92,753.84,670.08,+9.86,110.83,95.54,19.32,0.03,,TRUE,healthy,,,unknown,critical,None,NO_DATA_AVAILABLE; CANNOT_ASSESS_PROFITABILITY; CANNOT_ASSESS_TRENDS; CANNOT_CALCULATE_METRICS; ANALYSIS_IMPOSSIBLE; CRITICAL_DATA_GAP,0,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 4.7% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,"BlackBuck gets Buy rating as Ambit sees strong growth ahead, values stock at Rs 885 ","Ambit Capital's initiation with Buy rating and ₹885 target (26.6% upside from current ₹699) is a strong catalyst backed by concrete operational metrics: 53% revenue CAGR (FY22-25), EBITDA margin turna"
3,SBIN,STATE BANK OF INDIA,76.7,bullish,BUY,"institutional_buying, earnings, analyst_upgrade, momentum","RSI overbought at 77.7 - potential short-term consolidation, Promoter holding reduced from 57.42% to 55.50%, Potential stress in loan books as noted by analysts, Stock near 52-week high with limited upside room in short term",75,1,56.5,967.95,2025-11-15T20:13:44.856465,953.43,972.79,992.15,1016.35,943.75,+4.50,9.71,15.62,23.90,1.27,,TRUE,healthy,,,unknown,critical,None,ZERO_DATA_POINTS_COLLECTED; ANALYSIS_IMPOSSIBLE; DATA_COLLECTION_FAILURE; VERIFY_TICKER_SYMBOL; CHECK_DATA_SOURCE_AVAILABILITY; MANUAL_VERIFICATION_REQUIRED; NO_PROFITABILITY_DATA; NO_REVENUE_DATA; NO_QUARTERLY_RESULTS; SYSTEM_INTEGRITY_ISSUE,0,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 0.0% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,FIIs and DIIs place big bets on State Bank of India — Analysts see about 20% rally ahead ,"Strong institutional accumulation (FII stake up to 9.57%, DII to 27.65%) combined with solid Q2 earnings (₹20,159cr profit, +10% YoY) and ICICI Securities ₹1,150 target (20% upside) creates compelling"
4,ETERNAL,ETERNAL LIMITED,69.1,bullish,BUY,"sector_momentum, expansion, earnings_growth, analyst_upgrade","Renewed competitive intensity and promotional spending, Quick commerce profitability timeline dependent on throughput assumptions, Technical weakness - price below both 20DMA and 50DMA, Low RSI (34.99) indicates recent selling pressure",72,1,32.4,304.15,2025-11-15T20:07:30.947893,301.11,304.15,316.32,328.48,291.98,+1.38,-90.12,50.14,0.35,0.07,,TRUE,moderate,,,unknown,critical,None,NO_DATA_AVAILABLE; ANALYSIS_IMPOSSIBLE; TICKER_VERIFICATION_REQUIRED; POTENTIAL_DELISTING_OR_SUSPENSION; DATA_COLLECTION_FAILURE; ZERO_DATA_CONSISTENCY,0,FALSE,,FALSE,,TRUE,14.3%,FALSE,0.27,55.0,35.0,0.0,,,Adjusted confidence 0.27 below requirement 0.30,TRUE,,uncertain,0.5,CAUTION,0.60,⚠️  Decision flagged for caution review | Issues: Low correction confidence: 0.27 | Recommendation: ,Food delivery set for 20–22% GOV growth; Eternal & Swiggy top bets ,"Strong bullish case supported by analyst target of ₹410 (+35% upside), exceptional 90% QoQ revenue growth driven by inventory-led model transition, and improving contribution margins (3.9% to 4.6%). Q"
5,IDEAFORGE,IDEAFORGE TECHNOLOGY LIMITED,57.8,bullish,BUY,"contract, government_order, defense_sector","Stock trading near oversold levels (RSI 30) - potential further downside before recovery, Recent negative price momentum (-3.7% 10-day, below 20/50 DMA), Company fundamentals show concerning profitability metrics (-184% profit margin Q1), Defense orders can have long delivery timelines affecting near-term revenue recognition",80,1,43.2,466.00,2025-11-15T18:42:02.267411,459.01,468.33,477.65,489.30,454.35,-12.10,-2106.47,-237.58,-184.32,0.03,,TRUE,concerning,,,unknown,critical,None,ZERO_DATA_POINTS_COLLECTED; COMPLETE_ANALYSIS_FAILURE; NO_PROFITABILITY_DATA; NO_REVENUE_DATA; NO_TREND_DATA_AVAILABLE; CANNOT_VERIFY_FINANCIAL_HEALTH; POSSIBLE_INVALID_TICKER; POSSIBLE_DELISTED_COMPANY; DATA_SOURCE_FAILURE; INVESTMENT_IMPOSSIBLE_WITHOUT_DATA,0,FALSE,,FALSE,,TRUE,21.1%,FALSE,0.24,55.0,25.0,0.0,,,Stock fails risk management criteria: High volatility (beta 1.7) + low confidence,FALSE,volatility,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Risk filters failed | Recommendation: Verify or re,ideaForge Tech bags ₹100-cr supply order from Indian Army,"IdeaForge secured a confirmed ₹100 crore defense order from Indian Army (₹75cr for Zolt, ₹30cr for SWITCH 2) published in tier-1 source Hindu BusinessLine. This represents significant contract value f"
6,MARICO,MARICO LIMITED,57.4,bearish,HOLD,"earnings, results_metrics","Profit decline despite revenue growth indicates margin pressure, Parachute Rigids volume down 3% due to copra price hyperinflation, Elevated input cost headwinds expected to continue, Stock trading near recent highs (RSI 62.67) with limited upside buffer",85,1,66.9,737.95,2025-11-15T20:11:32.374975,730.57,737.95,767.47,796.99,708.43,+10.88,8.62,9.99,15.46,0.14,,TRUE,healthy,,,unknown,unknown,0,NO_FINANCIAL_DATA_AVAILABLE; ANALYSIS_IMPOSSIBLE; DATA_COLLECTION_FAILURE; EMPTY_DATA_ARRAY; ZERO_DATA_CONSISTENCY,5,TRUE,₹7.0,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 1.7% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,"Marico’s profit declines 0.7% in Q2 FY26, to ₹420 crore","Marico reported Q2 FY26 results with marginal profit decline of 0.7% to ₹420 crore despite 30% revenue growth, signaling severe margin compression from copra hyperinflation. While volume growth of 7% "
7,INDIGO,INTERGLOBE AVIATION LIMITED,52.3,neutral,HOLD,"expansion, route_launch","No financial impact disclosed - operational expansion only, Earnings declining -20% YoY despite revenue growth, Very high debt-to-equity ratio of 7.13, Route launches are routine operations, not game-changers, RSI neutral zone with modest momentum - no strong technical trigger",75,1,42.1,5895.00,2025-11-15T20:09:27.832579,5806.57,5924.47,6042.37,6189.75,5747.62,-2.29,-20.25,-11.19,10.62,7.13,,TRUE,concerning,,,unknown,critical,None,ZERO_DATA_POINTS_PROVIDED; ANALYSIS_IMPOSSIBLE_WITHOUT_DATA; POTENTIAL_DATA_COLLECTION_FAILURE; TICKER_SYMBOL_MAY_BE_INVALID; NO_REVENUE_DATA_AVAILABLE; NO_PROFIT_LOSS_DATA_AVAILABLE,5,TRUE,₹10.0,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 4.0% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,IndiGo fuels domestic expansion with new routes from newly launched Navi Mumbai International Airpor,"IndiGo's announcement of 10 new routes from Navi Mumbai International Airport (starting Dec 25) is a confirmed operational expansion from a tier-1 source (Hindu BusinessLine), earning high certainty ("
8,SIEMENS,SIEMENS LIMITED,48.8,bearish,HOLD,"earnings, results_metrics","Net profit declined 7% YoY to ₹485cr despite revenue growth, Digital Industries volumes impacted by muted private sector capex, Previous quarter had one-time ₹69cr property sale gain (non-recurring), RSI at 40 indicates weak momentum, price below 20DMA and 50DMA, Negative 10-day momentum (-1.38%) shows recent weakness",85,1,54.6,3093.40,2025-11-15T20:14:56.950110,3062.47,3093.40,3217.14,3340.87,2969.66,+2.77,-26.80,38.54,9.73,0.02,TRUE,TRUE,moderate,TRUE,,unknown,critical,0,NO_DATA_AVAILABLE; COMPLETE_DATA_COLLECTION_FAILURE; HEURISTIC_FALLBACK_ONLY; LOW_CONFIDENCE_TARGETS_15%; CONFLICTING_FINANCIAL_HEALTH_STATUS; QUARTERLY_EARNINGS_DECLINE_7%; FX_CURRENCY_RISK_IDENTIFIED; DATA_CONSISTENCY_ONLY_51%; CANNOT_VERIFY_CONSECUTIVE_LOSSES; CANNOT_ASSESS_REVENUE_TRENDS_RELIABLY,0,FALSE,,FALSE,,FALSE,,FALSE,,,,,,,Correction detection failed: Outside valid range: 7.3% (need 10-35%),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,Siemens Sept qtr net profit falls 7% to ₹485 cr,"Despite 16% revenue growth to ₹5,171cr, net profit fell 7% YoY to ₹485cr due to absence of previous year's one-time ₹69cr property sale gain and muted private capex. Technical indicators show weakness"
9,WORTH,WORTH PERIPHERALS LIMITED,48.0,neutral,HOLD,,"News is about Andhra Pradesh state investments, not directly about WORTH company, Stock in downtrend with RSI 42 (weak momentum), Price below both 20DMA (-4.05%) and 50DMA (-4.83%), Very low volume ratio (0.19) indicates weak participation, No direct business catalyst for WORTH identified in article",85,3,41.5,159.00,2025-11-15T20:02:29.917269,156.62,159.79,162.97,166.95,155.03,+2.25,,-2.82,7.22,0.11,,TRUE,moderate,,,unknown,critical,None,NO_DATA_AVAILABLE; CANNOT_ASSESS_PROFITABILITY; CANNOT_VERIFY_STOCK_EXISTS; ZERO_DATA_CONSISTENCY; ANALYSIS_IMPOSSIBLE; POSSIBLE_INVALID_TICKER; DATA_COLLECTION_FAILURE; HIGH_UNCERTAINTY_RISK,0,FALSE,,FALSE,,TRUE,13.3%,FALSE,,,,,,,Stock showing correction but reversal signals insufficient: 0 technical signal(s),,,,,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Reversal confirmation failed - critical layer | Re,CII Partnership Summit 2025: AP inked investment deals worth ₹13 lakh crore: CM Naidu,"This article discusses Andhra Pradesh state government's investment summit securing ₹13 lakh crore in MoUs across various sectors, with no direct mention of WORTH company. The headline contains the wo"
10,SWIGGY,SWIGGY LIMITED,25.5,neutral,WATCH,,,40,1,33.2,394.00,2025-11-15T19:15:49.746971,390.06,394.00,409.76,425.52,378.24,-9.04,-95.91,-32.62,-24.13,0.17,,TRUE,concerning,,,unknown,critical,None,ZERO_DATA_COLLECTED; NO_FINANCIAL_METRICS_AVAILABLE; ANALYSIS_NOT_POSSIBLE; POTENTIAL_RECENT_IPO; DATA_SOURCE_FAILURE; TICKER_VERIFICATION_NEEDED; HIGH_INVESTMENT_RISK_DUE_TO_NO_DATA,0,FALSE,,FALSE,,TRUE,14.2%,FALSE,0.24,55.0,25.0,0.0,,,Adjusted confidence 0.24 below requirement 0.30,TRUE,,uncertain,0.5,CAUTION,0.50,⚠️  Decision flagged for caution review | Issues: Low correction confidence: 0.24 | Recommendation: ,Food delivery set for 20–22% GOV growth; Eternal & Swiggy top bets ,Detected 0 catalyst(s). Risks: None. Evidence: n/a. From economictimes.indiatimes.com [tier1:0.95]. Score: 46/100. Certainty: 40%. NEUTRAL.
