ticker,rating,score,sentiment,action,catalysts,risks,opportunities,reasoning
TRU,ACCUMULATE,55.378125,bullish,watch,"management_change, foreign_investment",Market,"Innovation, Market Leadership","AI Analysis: BULLISH sentiment with 2 major catalysts. Average impact: 41/100, Confidence: 45%."
RELIANCE,SELL,23.8,mixed,hold,,,"Innovation, Market Tailwind","AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 48%."
TRUST,ACCUMULATE,57.0,mixed,watch,management_change,,,"AI Analysis: MIXED sentiment with 1 major catalysts. Average impact: 60/100, Confidence: 48%."
IT,HOLD,52.71874999999999,bullish,buy,"management_change, record_sales",Execution,"Innovation, Market Tailwind","AI Analysis: BULLISH sentiment with 2 major catalysts. Average impact: 35/100, Confidence: 46%."
TECH,SELL,20.0,mixed,watch,,Execution,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
GLOBAL,ACCUMULATE,62.224999999999994,bullish,hold,foreign_investment,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 45/100, Confidence: 58%."
KORE,SELL,20.0,mixed,watch,,Market,Market Leadership,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
BIL,HOLD,54.175,bullish,watch,foreign_investment,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 45/100, Confidence: 44%."
STEL,ACCUMULATE,57.0,mixed,watch,management_change,Execution,Market Tailwind,"AI Analysis: MIXED sentiment with 1 major catalysts. Average impact: 60/100, Confidence: 48%."
URBAN,SELL,28.0,mixed,hold,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 56%."
YATRA,SELL,31.0,mixed,hold,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 62%."
ATL,SELL,20.0,mixed,watch,,Competition,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
BFSI,SELL,26.5,mixed,hold,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 53%."
CLEAN,STRONG BUY,84.07499999999999,bullish,buy,foreign_investment,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 90/100, Confidence: 51%."
DOLLAR,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
EDELWEISS,ACCUMULATE,57.0,mixed,watch,management_change,,Innovation,"AI Analysis: MIXED sentiment with 1 major catalysts. Average impact: 60/100, Confidence: 48%."
EMBASSY,SELL,20.0,mixed,watch,,Execution,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
GNA,SELL,23.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 46%."
PREMIUM,SELL,20.0,mixed,watch,,,"Innovation, Market Leadership","AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
PROV,STRONG BUY,82.35,bullish,watch,foreign_investment,,Innovation,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 90/100, Confidence: 48%."
RAIN,SELL,20.0,mixed,watch,,,Innovation,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
STAR,STRONG BUY,88.1,bullish,buy,foreign_investment,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 90/100, Confidence: 58%."
SUMIT,ACCUMULATE,57.0,mixed,watch,management_change,,Innovation,"AI Analysis: MIXED sentiment with 1 major catalysts. Average impact: 60/100, Confidence: 48%."
ADANIENT,SELL,20.0,mixed,watch,,,,"AI Analysis: MIXED sentiment with 0 major catalysts. Average impact: 0/100, Confidence: 40%."
BEL,STRONG BUY,77.175,bullish,buy,earnings_beat,,,"AI Analysis: BULLISH sentiment with 1 major catalysts. Average impact: 75/100, Confidence: 54%."
