ticker,recommendation,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,urgency_score,primary_reasons,summary
KEC,MONITOR,47,50,20,LOW,0,0,0,,No AI summary available
PETRONET,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
DEEPAKNTR,MONITOR,43,50,10,NONE,0,0,0,,No AI summary available
AURIGROW,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
SAGILITY,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
CIPLA,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
UPL,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
BANARBEADS,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
ALPA,MONITOR,47,50,20,LOW,0,0,0,,No AI summary available
DBCORP,MONITOR,50,50,30,LOW,0,0,0,,No AI summary available
BFUTILITIE,MONITOR,64,50,70,HIGH,0,0,0,,No AI summary available
VIKRAMAR,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
BHEL,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
CAPACITE,MONITOR,47,50,20,LOW,0,0,0,,No AI summary available
CROMPTON,MONITOR,47,50,20,LOW,0,0,0,,No AI summary available
DATAPATTNS,MONITOR,43,50,10,NONE,0,0,0,,No AI summary available
EASEMYTRIP,MONITOR,47,50,20,LOW,0,0,0,,No AI summary available
GATECHDVR,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
HUDCO,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
IDBI,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
MGL,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
NBCC,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
RBLBANK,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
GLENMARK,MONITOR,47,50,20,LOW,0,0,0,,No AI summary available
INDINFO,MONITOR,40,50,0,NONE,0,0,0,,No AI summary available
