ticker,recommendation,decision_band,exit_score,confidence,technical_score,technical_severity,fundamental_risk,sentiment_risk,liquidity_risk,index_tailwind,urgency_score,primary_reasons,summary
KEC,MONITOR,HOLD,42,75,35,LOW,45,50,35,0,72,"Price at 20-day low with 3.5% breakdown below 20DMA and 3.9% below 50DMA, Deeply oversold RSI at 22.75 with continued downward momentum (-3.28% over 10 days), Volume weakness at 46% of average signals lack of buying interest during decline","MONITOR closely with tight stop-loss. Technical breakdown is clear (below both MAs, oversold RSI, weak volume) scoring 75/100 on breakdown risk. However, extreme oversold conditions (RSI 22.75, -2.33 "
PETRONET,HOLD,STRONG HOLD,17,75,0,NONE,35,15,20,0,28,"Slightly below-average volume (0.82x) suggests cautious participation, Monthly trend down while weekly up shows mixed momentum signals, No positive catalysts identified in recent news cycle","HOLD position - technicals remain constructive with price above key moving averages and neutral RSI. No critical breakdown signals present. Primary concern is weak volume and lack of catalysts, but th"
DEEPAKNTR,MONITOR,HOLD,39,75,27,LOW,45,50,35,0,72,"Price broke below both 20DMA (-2.6%) and 50DMA (-3.4%) with confirmation, RSI at oversold 25.34 with sustained downward momentum (-2.4% 10-day), Currently at 20-day low (0% distance) with elevated volume (1.67x average)","MONITOR with tight stop-loss. Stock shows clear technical breakdown (below both SMAs, oversold RSI, at 20-day low) but lacks fundamental confirmation. Oversold condition may offer short-term bounce, b"
AURIGROW,IMMEDIATE_EXIT,MONITOR,56,50,5,NONE,90,75,80,0,95,"Extreme price deterioration: -3.45% 10-day momentum in penny stock territory (₹0.56), Catastrophic volatility: 3.95% ATR indicates 7%+ daily swings - unsuitable for position holding, Complete lack of liquidity data: No SMA/volume baselines suggests abandoned/delisted risk","IMMEDIATE EXIT recommended with 95/100 urgency. This is a penny stock (₹0.56) exhibiting severe deterioration with -3.45% 10-day momentum, extreme 3.95% ATR volatility, and complete absence of fundame"
SAGILITY,MONITOR,STRONG HOLD,19,75,5,NONE,45,0,20,0,72,"RSI approaching overbought at 69.66 with 3.3x volume spike - exhaustion risk, Price extended 12% above 20DMA and 15.7% above 50DMA - overextended rally, Bollinger Band position at 1.91 Z-score indicates extreme upper band proximity","MONITOR closely for exit. Stock is technically overextended with RSI 69.66, price 12-16% above moving averages, and extreme Bollinger positioning. While the uptrend is intact, the 16.4% 10-day rally o"
CIPLA,MONITOR,HOLD,30,75,17,NONE,45,30,20,0,72,"Price trading 3.9% below 20DMA and 3.7% below 50DMA with consistent downtrend across weekly/monthly timeframes, RSI at 40.3 showing weakening momentum with 4.8% negative 10-day momentum, Bollinger Band position at -1.28 standard deviations indicating persistent selling pressure","MONITOR closely with 1495 as critical support level. Technical deterioration is evident (3-4% below key moving averages, negative momentum, volume-confirmed selling) but not yet critical. Absence of f"
UPL,MONITOR,STRONG HOLD,25,75,0,NONE,45,30,20,0,72,"RSI overbought at 70.57 with extreme Bollinger Band position (z=2.11) indicating overextension vulnerability, Price 5.16% above 20DMA after 6.8% 10-day rally - potential exhaustion zone with volume spike (2.15x avg), Near 20-day high (0.17% away) with no fundamental catalyst - technical momentum may be sole driver","MONITOR closely with tight stop-loss. Technical indicators show overbought conditions (RSI 70.57, extreme Bollinger position) after strong rally without fundamental catalyst. While trend remains intac"
BANARBEADS,HOLD,HOLD,32,75,5,NONE,45,40,80,0,35,"Price marginally below 20DMA (-1.86%) showing short-term weakness, Minor momentum deterioration (-0.05% over 10 days), No fundamental news available to assess business quality",HOLD position with close monitoring. Technical structure remains constructive with price above key 50DMA support and higher timeframe trends positive. Short-term weakness near 20DMA is normal consolid
ALPA,HOLD,HOLD,34,75,20,LOW,45,30,80,0,35,"Price marginally below 50DMA (-1.01%) indicating mild weakness, Monthly and weekly trends showing downward momentum, Low volume (47.6% of average) suggests weak conviction in current levels","HOLD position with cautious monitoring. Technical structure remains intact with price above 20DMA and positive short-term momentum, despite longer-term downtrends. No critical breakdown signals presen"
DBCORP,HOLD,HOLD,32,75,33,LOW,35,20,55,0,25,"Below-average volume (26% of normal) suggests weak participation, No fundamental data available to confirm earnings strength, Price near 20-day high creates limited upside margin of safety","HOLD with cautious monitoring. Technical structure remains intact with price above key moving averages and positive momentum across multiple timeframes. However, absence of volume confirmation and fun"
BFUTILITIE,MONITOR,MONITOR,59,75,80,CRITICAL,45,50,55,0,72,"Price broken below both 20DMA (-5.2%) and 50DMA (-7.4%) with bearish momentum, RSI deeply oversold at 23.0 indicating potential capitulation phase, Significant volume contraction (69% below average) on downtrend suggests weak conviction","Technical damage is significant with broken support levels and oversold momentum, but absence of fundamental news and extreme RSI suggest this may be sector weakness rather than company-specific deter"
VIKRAMAR,MONITOR,MONITOR,57,75,85,CRITICAL,45,30,80,0,72,"Price trading 13.5% below 50DMA with established downtrend, RSI at 29.1 showing oversold but no reversal signs, death cross pattern likely forming, Volume contraction (0.34x average) during decline suggests lack of buying interest","MONITOR with defensive stop-loss. Stock shows severe technical deterioration (13.5% below 50DMA, death cross forming, multi-timeframe downtrend) but deeply oversold RSI and proximity to 20-day low sug"
BHEL,MONITOR,STRONG HOLD,25,75,0,NONE,45,30,20,0,72,"RSI extremely overbought at 73.64 - historically precedes corrections, Price extended 10.5% above 20DMA and 15% above 50DMA - unsustainable divergence, Bollinger Band Z-score of 2.77 indicates parabolic move prone to mean reversion","MONITOR with tight stop-loss at ₹252 (5% below current). Technical setup shows extreme overbought conditions with RSI 73.6, price 15% above 50DMA, and parabolic Bollinger Band positioning. While uptre"
CAPACITE,HOLD,HOLD,36,75,20,LOW,45,40,55,0,35,"Price trading below 50DMA (-1.42%), minor weakness signal, No news available - lack of catalysts for upward momentum, Fundamental risk unknown without earnings/debt data","HOLD position - technical structure remains constructive with price above 20DMA, positive momentum, and healthy volume. Minor weakness vs 50DMA is normal consolidation, not breakdown. Lack of news is "
CROMPTON,MONITOR,HOLD,35,75,27,LOW,45,35,20,0,72,"Price trading 7.2% below 50DMA with consistent downtrend across weekly/monthly timeframes, Death cross pattern forming (20DMA at 288 vs 50DMA at 305) - bearish technical structure, Volume spike (1.46x average) on downmove confirming selling pressure","MONITOR with tight stop-loss. Technical structure is deteriorating with death cross forming and price breaking below 20DMA on volume. However, no fundamental red flags yet and RSI not oversold. Set st"
DATAPATTNS,HOLD,STRONG HOLD,19,75,15,NONE,25,15,20,0,42,"Price below 20DMA (-1.34%) with downward momentum, Low volume (44% of average) suggests weak conviction, 10-day momentum negative at -2.24%","HOLD position. Technical pullback appears normal consolidation within intact intermediate uptrend (above 50DMA, monthly trend positive). No fundamental red flags or negative catalysts present. Low vol"
EASEMYTRIP,MONITOR,HOLD,38,75,27,LOW,45,40,55,0,72,"Price below both 20DMA (-0.75%) and 50DMA (-4.84%) indicating established downtrend, Consistent downward momentum across weekly and monthly timeframes, RSI at 44.76 showing weakening momentum without oversold bounce potential","MONITOR closely with 5% trailing stop-loss. The stock shows clear multi-timeframe deterioration but lacks immediate catastrophic triggers. Current technical weakness (below both key moving averages, d"
GATECHDVR,MONITOR,HOLD,40,75,22,LOW,45,50,80,0,58,,
HUDCO,HOLD,STRONG HOLD,19,75,0,NONE,35,20,20,0,25,"No recent news limits visibility into fundamental changes, Public sector enterprise faces policy/execution risks, Limited data prevents comprehensive fundamental assessment","HOLD position with confidence. Technical structure remains robust with price above key moving averages, strong volume-backed momentum, and healthy trend across all timeframes. While absence of news li"
IDBI,MONITOR,STRONG HOLD,19,75,5,NONE,45,0,20,0,72,"Overbought RSI at 69.93 indicating near-term exhaustion risk, Price extended 9.6% above 20DMA and 11.7% above 50DMA - profit-taking zone, Bollinger Band position at 2.42 standard deviations (extreme upper band)","MONITOR closely for reversal signals. While trend remains strong, technical indicators show extreme overbought conditions with climactic volume suggesting near-term consolidation or pullback risk. Con"
MGL,HOLD,HOLD,31,75,7,NONE,45,45,35,0,42,"Price below both 20DMA (-1.14%) and 50DMA (-1.37%) indicating short-term weakness, RSI at 43.26 showing mild bearish momentum with recent downtrend, Bollinger Band position at -1.24 suggesting oversold territory without volume confirmation","HOLD position. Technical weakness is minor consolidation, not breakdown - price only 1-1.4% below key averages with no volume confirmation of selling pressure. MGL is a regulated utility with stable f"
NBCC,HOLD,STRONG HOLD,19,75,0,NONE,35,20,20,0,25,"No recent news available limits fundamental assessment, Bollinger Band position shows potential overbought conditions (Z-score 2.16), PSU sector inherent risks (government policy dependency, execution delays)","HOLD position. Technical structure remains healthy with price above key moving averages, positive momentum across all timeframes, and volume-supported uptrend. While absence of news limits fundamental"
RBLBANK,MONITOR,STRONG HOLD,19,75,5,NONE,45,0,20,0,72,"RSI overbought at 72.6 indicates extended rally vulnerable to pullback, Price extended 15.7% above 50DMA and 7.3% above 20DMA - overheated short-term, Volume declining 47% below 20-day average during uptrend - weak buyer conviction","MONITOR with tight stops. Technical indicators show overbought conditions (RSI 72.6) and declining volume commitment (-47%) during a strong rally, suggesting near-term exhaustion risk. While the uptre"
GLENMARK,MONITOR,HOLD,31,75,20,LOW,45,30,20,0,72,"Price broke below 50DMA (-3.5%), signaling medium-term weakness, RSI at 38.7 approaching oversold with declining momentum, Below-average volume (0.70x) suggests weak participation and potential breakdown confirmation","MONITOR closely with tight stop-loss. Stock shows medium-term technical deterioration (below 50DMA, bearish weekly/monthly trends) but hasn't broken critical 20DMA support yet. Exit if 20DMA breaks (1"
INDINFO,IMMEDIATE_EXIT,EXIT,79,75,100,CRITICAL,65,70,80,0,87,"Severe technical breakdown: Price 22.6% below 50DMA with death cross pattern forming, RSI deeply oversold at 27.78 with continued downward momentum (-8.75% over 10 days), Price at 20-day low with weak volume (42% below average), indicating capitulation without buyer interest","IMMEDIATE_EXIT recommended due to severe technical breakdown across multiple indicators. Price is 22.6% below 50DMA at 20-day lows with deeply oversold RSI (27.78), yet volume remains weak suggesting "
